offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
0.0,<music21.chord.Chord G-1>,[0],[7],25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
5.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
6.0,<music21.chord.Chord E-4 G-1>,"[0, 4]","[3, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
7.0,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
8.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
9.5,<music21.chord.Chord C#4 G-1>,"[0, 6]","[1, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
10.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
11.0,<music21.chord.Chord G-1>,[0],[7],25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
13.0,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
14.0,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
15.0,<music21.chord.Chord A4 G-1>,"[0, 2]","[7, 9]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
16.0,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
17.5,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
18.0,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
