offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
0.0,<music21.chord.Chord G2 B-4>,"[0, 3]","[7, 10]",Allard_5diversions.xml,,1,1
0.5,<music21.chord.Chord G2 D3 B-4>,"[0, 3, -5]","[7, 10, 2]",Allard_5diversions.xml,,1,1 1/4
1.0,<music21.chord.Chord G2 G3 D4 B-4>,"[0, 3, -5]","[7, 10, 2]",Allard_5diversions.xml,,1,1 1/2
1.5,<music21.chord.Chord G2 G3 G4 B-4>,"[0, 3]","[7, 10]",Allard_5diversions.xml,,1,1 3/4
2.0,<music21.chord.Chord G2 D3 G4 B-4>,"[0, 3, -5]","[7, 10, 2]",Allard_5diversions.xml,,1,2
2.5,<music21.chord.Chord G2 G3 D4 B-4>,"[0, 3, -5]","[7, 10, 2]",Allard_5diversions.xml,,1,2 1/4
3.0,<music21.chord.Chord G2 D3 G4 B-4>,"[0, 3, -5]","[7, 10, 2]",Allard_5diversions.xml,,1,2 1/2
3.5,<music21.chord.Chord G2 D4 B-4>,"[0, 3, -5]","[7, 10, 2]",Allard_5diversions.xml,,1,2 3/4
0.0,<music21.chord.Chord E2 B4>,"[0, -7]","[11, 4]",Allard_5diversions.xml,,2,1
0.5,<music21.chord.Chord E2 B2 B4>,"[0, -7]","[11, 4]",Allard_5diversions.xml,,2,1 1/4
1.0,<music21.chord.Chord E2 E3 E4 B4>,"[0, -7]","[11, 4]",Allard_5diversions.xml,,2,1 1/2
1.5,<music21.chord.Chord E2 E3 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Allard_5diversions.xml,,2,1 3/4
2.0,<music21.chord.Chord E2 B2 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Allard_5diversions.xml,,2,2
2.5,<music21.chord.Chord E2 E3 E4 B4>,"[0, -7]","[11, 4]",Allard_5diversions.xml,,2,2 1/4
3.0,<music21.chord.Chord E2 B2 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Allard_5diversions.xml,,2,2 1/2
3.5,<music21.chord.Chord E2 E4 B4>,"[0, -7]","[11, 4]",Allard_5diversions.xml,,2,2 3/4
0.0,<music21.chord.Chord A2 C5>,"[0, -9]","[9, 0]",Allard_5diversions.xml,,3,1
0.5,<music21.chord.Chord A2 E3 C5>,"[0, -9, -5]","[9, 0, 4]",Allard_5diversions.xml,,3,1 1/4
1.0,<music21.chord.Chord A2 A3 E4 C5>,"[0, -9, -5]","[9, 0, 4]",Allard_5diversions.xml,,3,1 1/2
1.5,<music21.chord.Chord A2 A3 A4 C5>,"[0, -9]","[9, 0]",Allard_5diversions.xml,,3,1 3/4
2.0,<music21.chord.Chord A2 E3 A4 C5>,"[0, -9, -5]","[9, 0, 4]",Allard_5diversions.xml,,3,2
2.5,<music21.chord.Chord A2 A3 E4 C5>,"[0, -9, -5]","[9, 0, 4]",Allard_5diversions.xml,,3,2 1/4
3.0,<music21.chord.Chord A2 E3 A4 C5>,"[0, -9, -5]","[9, 0, 4]",Allard_5diversions.xml,,3,2 1/2
3.5,<music21.chord.Chord A2 E4 C5>,"[0, -9, -5]","[9, 0, 4]",Allard_5diversions.xml,,3,2 3/4
0.0,<music21.chord.Chord D2 D5>,[0],[2],Allard_5diversions.xml,,4,1
0.5,<music21.chord.Chord D2 A2 G4 D5>,"[0, 2, -5]","[7, 9, 2]",Allard_5diversions.xml,,4,1 1/4
2/3,<music21.chord.Chord D2 A2 A4 D5>,"[0, -7]","[9, 2]",Allard_5diversions.xml,,4,1 1/3
5/6,<music21.chord.Chord D2 A2 G4 D5>,"[0, 2, -5]","[7, 9, 2]",Allard_5diversions.xml,,4,1 5/12
1.0,<music21.chord.Chord D2 D3 E4 D5>,"[0, 2]","[2, 4]",Allard_5diversions.xml,,4,1 1/2
1.5,<music21.chord.Chord D2 A2 G4 D5>,"[0, 2, -5]","[7, 9, 2]",Allard_5diversions.xml,,4,1 3/4
2.0,<music21.chord.Chord D2 D3 F#4 D5>,"[0, 4]","[2, 6]",Allard_5diversions.xml,,4,2
2.5,<music21.chord.Chord D2 A2 F#4 D5>,"[0, 4, 7]","[2, 6, 9]",Allard_5diversions.xml,,4,2 1/4
3.0,<music21.chord.Chord D2 D3 A4 D5>,"[0, -7]","[9, 2]",Allard_5diversions.xml,,4,2 1/2
3.5,<music21.chord.Chord D2 F#2 A4 D5>,"[0, 4, 7]","[2, 6, 9]",Allard_5diversions.xml,,4,2 3/4
0.0,<music21.chord.Chord G2 B-4>,"[0, 3]","[7, 10]",Allard_5diversions.xml,,5,1
