offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
0.0,<music21.chord.Chord D4 D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,1,1,1
0.125,<music21.chord.Chord D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,,1,1
0.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,,1,1
1.0,<music21.chord.Chord F4 F3 A3>,"[0, 4]","[5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,1,2
1.125,<music21.chord.Chord F3 A3>,"[0, 4]","[5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,1,2
1.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,1,2
2.0,<music21.chord.Chord A4 D2>,"[0, 5]","[9, 2]",Romanian Folk Dances 2 Braul D minor.mid,,2,1
2.125,<music21.chord.Chord D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,,2,1
2.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,2,1
3.0,<music21.chord.Chord D4 G3 B3>,"[0, 4, 7]","[7, 11, 2]",Romanian Folk Dances 2 Braul D minor.mid,,2,2
3.125,<music21.chord.Chord G3 B3>,"[0, 4]","[7, 11]",Romanian Folk Dances 2 Braul D minor.mid,,2,2
3.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,2,2
4.0,<music21.chord.Chord A4 D2>,"[0, 5]","[9, 2]",Romanian Folk Dances 2 Braul D minor.mid,,3,1
5.0,<music21.chord.Chord A4 A3 D4 F4>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,3,2
5.125,<music21.chord.Chord A3 D4 F4>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,3,2
5.75,<music21.chord.Chord B4>,[0],[11],Romanian Folk Dances 2 Braul D minor.mid,,3,2
6.0,<music21.chord.Chord A4 A3 D4 F4>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,,4,1
8.0,<music21.chord.Chord G4 G2>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,5,1
8.125,<music21.chord.Chord G2>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,5,1
8.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,5,1
9.0,<music21.chord.Chord B4 D4 F4>,"[0, 3, 6]","[11, 2, 5]",Romanian Folk Dances 2 Braul D minor.mid,,5,2
9.125,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]",Romanian Folk Dances 2 Braul D minor.mid,,5,2
9.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,5,2
10.0,<music21.chord.Chord C5 A2>,"[0, 3]","[9, 0]",Romanian Folk Dances 2 Braul D minor.mid,,6,1
10.25,<music21.chord.Chord C5>,[0],[0],Romanian Folk Dances 2 Braul D minor.mid,,6,1
11.0,<music21.chord.Chord C5 C4 F4>,"[0, 5]","[0, 5]",Romanian Folk Dances 2 Braul D minor.mid,,6,2
11.25,<music21.chord.Chord B4>,[0],[11],Romanian Folk Dances 2 Braul D minor.mid,,6,2
11.5,<music21.chord.Chord A4>,[0],[9],Romanian Folk Dances 2 Braul D minor.mid,,6,2
11.666666666666700,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,,6,2
11.875,<music21.chord.Chord F4>,[0],[5],Romanian Folk Dances 2 Braul D minor.mid,,6,2
