offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
1.0,<music21.chord.Chord F#1 D#2>,"[0, 3]","[3, 6]",Beatty_Musing_for_Piano.xml,,1,2
2.0,<music21.chord.Chord G#3 C#4 E4 G4 D-5 F5>,"[0, 3, 4, 6, 7]","[1, 4, 5, 7, 8]",Beatty_Musing_for_Piano.xml,,1,3
0.0,<music21.chord.Chord G#3 C#4 E4 G4 D-5 F5>,"[0, 3, 4, 6, 7]","[1, 4, 5, 7, 8]",Beatty_Musing_for_Piano.xml,,2,1
1.5,<music21.chord.Chord C#2 C#3 G4 D-5 F5>,"[0, 4, 6]","[1, 5, 7]",Beatty_Musing_for_Piano.xml,,2,2 1/2
2.0,<music21.chord.Chord C#2 C#3>,[0],[1],Beatty_Musing_for_Piano.xml,,2,3
3.0,<music21.chord.Chord C#4 F#4 A4 D5 G#5 D6>,"[0, 1, 5, 7, 8]","[1, 2, 6, 8, 9]",Beatty_Musing_for_Piano.xml,,2,4
0.0,<music21.chord.Chord C#4 F#4 A4 D5 G#5 D6>,"[0, 1, 5, 7, 8]","[1, 2, 6, 8, 9]",Beatty_Musing_for_Piano.xml,,3,1
1.0,<music21.chord.Chord C#4 F#4 A4 D5 G#5 D6>,"[0, 1, 5, 7, 8]","[1, 2, 6, 8, 9]",Beatty_Musing_for_Piano.xml,,3,2
1.75,<music21.chord.Chord G-2 F3 D5 G#5 D6>,"[0, 3, 4, 6]","[2, 5, 6, 8]",Beatty_Musing_for_Piano.xml,,3,2 3/4
2.0,<music21.chord.Chord G-2 F3>,"[0, 1]","[5, 6]",Beatty_Musing_for_Piano.xml,,3,3
3.0,<music21.chord.Chord G-2 F3>,"[0, 1]","[5, 6]",Beatty_Musing_for_Piano.xml,,3,4
3.25,<music21.chord.Chord C#4 G#4 B4 F5 B-5 E6>,"[0, 1, 4, 6, 7, -3]","[4, 5, 8, 10, 11, 1]",Beatty_Musing_for_Piano.xml,,3,4 1/4
0.0,<music21.chord.Chord C#4 G#4 B4 F5 B-5 E6>,"[0, 1, 4, 6, 7, -3]","[4, 5, 8, 10, 11, 1]",Beatty_Musing_for_Piano.xml,,4,1
2.0,<music21.chord.Chord D-3 C4>,"[0, 1]","[0, 1]",Beatty_Musing_for_Piano.xml,,4,3
0.0,<music21.chord.Chord D-3 C4>,"[0, 1]","[0, 1]",Beatty_Musing_for_Piano.xml,,5,1
0.5,<music21.chord.Chord E-4 B-4 D5 G5 C#6 G6>,"[0, 3, -6, -5, -4]","[7, 10, 1, 2, 3]",Beatty_Musing_for_Piano.xml,,5,1 1/2
1.5,<music21.chord.Chord E-4 B-4 D5 G5 C#6 G6>,"[0, 3, -6, -5, -4]","[7, 10, 1, 2, 3]",Beatty_Musing_for_Piano.xml,,5,2 1/2
1.75,<music21.chord.Chord F#2 G5 C#6 G6>,"[0, 5, 6]","[1, 6, 7]",Beatty_Musing_for_Piano.xml,,5,2 3/4
2.0,<music21.chord.Chord F#1 G5 C#6 G6>,"[0, 5, 6]","[1, 6, 7]",Beatty_Musing_for_Piano.xml,,5,3
3.0,<music21.chord.Chord C3 G#3 C4 F#4 B4>,"[0, 2, 5, -6]","[6, 8, 11, 0]",Beatty_Musing_for_Piano.xml,,5,4
0.0,<music21.chord.Chord C3 G#3 C4 F#4 B4>,"[0, 2, 5, -6]","[6, 8, 11, 0]",Beatty_Musing_for_Piano.xml,,6,1
0.75,<music21.chord.Chord F#1 F#2 C4 F#4 B4>,"[0, 5, -6]","[6, 11, 0]",Beatty_Musing_for_Piano.xml,,6,1 3/4
1.0,<music21.chord.Chord F#1 F#2>,[0],[6],Beatty_Musing_for_Piano.xml,,6,2
2.0,<music21.chord.Chord F#1 F#2>,[0],[6],Beatty_Musing_for_Piano.xml,,6,3
2.125,<music21.chord.Chord G-3>,[0],[6],Beatty_Musing_for_Piano.xml,,6,3 1/8
2.25,<music21.chord.Chord B-3 C4 E4 G#4 D5>,"[0, 2, -8, -6, -4]","[8, 10, 0, 2, 4]",Beatty_Musing_for_Piano.xml,,6,3 1/4
3.0,<music21.chord.Chord B-3 C4 E4 G#4 D5>,"[0, 2, -8, -6, -4]","[8, 10, 0, 2, 4]",Beatty_Musing_for_Piano.xml,,6,4
0.0,<music21.chord.Chord E-1 E-2>,[0],[3],Beatty_Musing_for_Piano.xml,,7,1
1.0,<music21.chord.Chord E-1 E-2>,[0],[3],Beatty_Musing_for_Piano.xml,,7,2
1.5,<music21.chord.Chord B-3 E-4 F4 B4 D#5 B5>,"[0, 1, -7, -5]","[10, 11, 3, 5]",Beatty_Musing_for_Piano.xml,,7,2 1/2
2.0,<music21.chord.Chord B-3 E-4 F4 B4 D#5 B5>,"[0, 1, -7, -5]","[10, 11, 3, 5]",Beatty_Musing_for_Piano.xml,,7,3
3.0,<music21.chord.Chord B-3 E-4 F4>,"[0, 2, 7]","[3, 5, 10]",Beatty_Musing_for_Piano.xml,,7,4
3.25,<music21.chord.Chord C#1 C#2>,[0],[1],Beatty_Musing_for_Piano.xml,,7,4 1/4
0.0,<music21.chord.Chord C#1 C#2>,[0],[1],Beatty_Musing_for_Piano.xml,,8,1
0.5,<music21.chord.Chord C#1 C#2>,[0],[1],Beatty_Musing_for_Piano.xml,,8,1 1/2
0.75,<music21.chord.Chord C#4 F#4 A4 D5 F#5 C6>,"[0, 3, -6, -5, -4]","[6, 9, 0, 1, 2]",Beatty_Musing_for_Piano.xml,,8,1 3/4
1.0,<music21.chord.Chord C#4 F#4 A4 D5 F#5 C6>,"[0, 3, -6, -5, -4]","[6, 9, 0, 1, 2]",Beatty_Musing_for_Piano.xml,,8,2
2.0,<music21.chord.Chord C#4 F#4 A4 D5 F#5 C6>,"[0, 3, -6, -5, -4]","[6, 9, 0, 1, 2]",Beatty_Musing_for_Piano.xml,,8,3
2.75,<music21.chord.Chord D-2 C3 D5 F#5 C6>,"[0, 1, 2, 6]","[0, 1, 2, 6]",Beatty_Musing_for_Piano.xml,,8,3 3/4
3.0,<music21.chord.Chord D-2 C3>,"[0, 1]","[0, 1]",Beatty_Musing_for_Piano.xml,,8,4
0.0,<music21.chord.Chord D-2 C3>,"[0, 1]","[0, 1]",Beatty_Musing_for_Piano.xml,,9,1
0.25,<music21.chord.Chord E-3 B3 C4 E4 A#4 E5>,"[0, 1, -10, -7, -6]","[10, 11, 0, 3, 4]",Beatty_Musing_for_Piano.xml,,9,1 1/4
1.0,<music21.chord.Chord E-3 B3 C4 E4 A#4 E5>,"[0, 1, -10, -7, -6]","[10, 11, 0, 3, 4]",Beatty_Musing_for_Piano.xml,,9,2
2.0,<music21.chord.Chord E-3 B3 C4 E4 G#4>,"[0, 3, -8, -5, -4]","[8, 11, 0, 3, 4]",Beatty_Musing_for_Piano.xml,,9,3
3.0,<music21.chord.Chord E-3 B3 C4 E4 G#4>,"[0, 3, -8, -5, -4]","[8, 11, 0, 3, 4]",Beatty_Musing_for_Piano.xml,,9,4
3.25,<music21.chord.Chord E-3 B3 C4 F#4>,"[0, -11, -8, -5]","[11, 0, 3, 6]",Beatty_Musing_for_Piano.xml,,9,4 1/4
3.5,<music21.chord.Chord C#3 G#3 B3 D4>,"[0, 3, -7, -6]","[8, 11, 1, 2]",Beatty_Musing_for_Piano.xml,,9,4 1/2
0.0,<music21.chord.Chord C#3 G#3 B3 D4>,"[0, 3, -7, -6]","[8, 11, 1, 2]",Beatty_Musing_for_Piano.xml,,10,1
1.0,<music21.chord.Chord C3 E-3 G3 C4 E-4>,"[0, 3, 7]","[0, 3, 7]",Beatty_Musing_for_Piano.xml,,10,2
2.0,<music21.chord.Chord C3 E-3 G3 C4 E-4>,"[0, 3, 7]","[0, 3, 7]",Beatty_Musing_for_Piano.xml,,10,3
2.75,<music21.chord.Chord F3 B3 C#4>,"[0, -10, -6]","[11, 1, 5]",Beatty_Musing_for_Piano.xml,,10,3 3/4
2.875,<music21.chord.Chord B2 E-3 F3 B3 C#4>,"[0, -10, -8, -6]","[11, 1, 3, 5]",Beatty_Musing_for_Piano.xml,,10,3 7/8
3.0,<music21.chord.Chord B2 E-3 F3 B3 C#4>,"[0, -10, -8, -6]","[11, 1, 3, 5]",Beatty_Musing_for_Piano.xml,,10,4
0.0,<music21.chord.Chord B2 E-3 F3 B3 C#4>,"[0, -10, -8, -6]","[11, 1, 3, 5]",Beatty_Musing_for_Piano.xml,,11,1
0.5,<music21.chord.Chord B2 E-3 A3>,"[0, 2, -6]","[9, 11, 3]",Beatty_Musing_for_Piano.xml,,11,1 1/2
0.75,<music21.chord.Chord A2 C#3 E3 B-3>,"[0, 1, -8, -5]","[9, 10, 1, 4]",Beatty_Musing_for_Piano.xml,,11,1 3/4
1.0,<music21.chord.Chord A2 C#3 E3 B-3>,"[0, 1, -8, -5]","[9, 10, 1, 4]",Beatty_Musing_for_Piano.xml,,11,2
2.0,<music21.chord.Chord A2 C#3 E3 B-3>,"[0, 1, -8, -5]","[9, 10, 1, 4]",Beatty_Musing_for_Piano.xml,,11,3
2.5,<music21.chord.Chord A2 C#3 E3 B-3>,"[0, 1, -8, -5]","[9, 10, 1, 4]",Beatty_Musing_for_Piano.xml,,11,3 1/2
2.75,<music21.chord.Chord A2 C#3 E3 G3 A-3>,"[0, 3, 6, 7, 8]","[1, 4, 7, 8, 9]",Beatty_Musing_for_Piano.xml,,11,3 3/4
2.875,<music21.chord.Chord B-2 D3 G3 A-3>,"[0, 1, 3, -5]","[7, 8, 10, 2]",Beatty_Musing_for_Piano.xml,,11,3 7/8
3.0,<music21.chord.Chord B-2 D3 G3 A-3>,"[0, 1, 3, -5]","[7, 8, 10, 2]",Beatty_Musing_for_Piano.xml,,11,4
0.0,<music21.chord.Chord B-2 D3 G3 A-3>,"[0, 1, 3, -5]","[7, 8, 10, 2]",Beatty_Musing_for_Piano.xml,,12,1
0.5,<music21.chord.Chord B-2 D3 G3 A-3>,"[0, 1, 3, -5]","[7, 8, 10, 2]",Beatty_Musing_for_Piano.xml,,12,1 1/2
0.75,<music21.chord.Chord C3 G3 A-3>,"[0, 1, -7]","[7, 8, 0]",Beatty_Musing_for_Piano.xml,,12,1 3/4
0.875,<music21.chord.Chord C3 F3 G3>,"[0, 2, -5]","[5, 7, 0]",Beatty_Musing_for_Piano.xml,,12,1 7/8
1.0,<music21.chord.Chord F2 F3 G3>,"[0, 2]","[5, 7]",Beatty_Musing_for_Piano.xml,,12,2
0.0,<music21.chord.Chord F2 F3 G3>,"[0, 2]","[5, 7]",Beatty_Musing_for_Piano.xml,,13,1
1.0,<music21.chord.Chord F3 G3>,"[0, 2]","[5, 7]",Beatty_Musing_for_Piano.xml,,13,2
2.75,<music21.chord.Chord F2 C3>,"[0, 5]","[0, 5]",Beatty_Musing_for_Piano.xml,,13,3 3/4
3.0,<music21.chord.Chord F3 A-3>,"[0, 3]","[5, 8]",Beatty_Musing_for_Piano.xml,,13,4
0.375,<music21.chord.Chord A-2 C3>,"[0, -8]","[8, 0]",Beatty_Musing_for_Piano.xml,,14,1 3/8
0.625,<music21.chord.Chord G3 B-3>,"[0, 3]","[7, 10]",Beatty_Musing_for_Piano.xml,,14,1 5/8
1.0,<music21.chord.Chord A#2 E3>,"[0, 6]","[4, 10]",Beatty_Musing_for_Piano.xml,,14,2
1.25,<music21.chord.Chord G#3 D4>,"[0, 6]","[2, 8]",Beatty_Musing_for_Piano.xml,,14,2 1/4
2.5,<music21.chord.Chord C#3 G3>,"[0, 6]","[1, 7]",Beatty_Musing_for_Piano.xml,,14,3 1/2
2.75,<music21.chord.Chord B3 D#4>,"[0, -8]","[11, 3]",Beatty_Musing_for_Piano.xml,,14,3 3/4
3.0,<music21.chord.Chord E-3 A3>,"[0, 6]","[3, 9]",Beatty_Musing_for_Piano.xml,,14,4
3.25,<music21.chord.Chord D#4 G4>,"[0, 4]","[3, 7]",Beatty_Musing_for_Piano.xml,,14,4 1/4
3.625,<music21.chord.Chord F#3 B3>,"[0, 5]","[6, 11]",Beatty_Musing_for_Piano.xml,,14,4 5/8
3.875,<music21.chord.Chord F#3 B-4>,"[0, 4]","[6, 10]",Beatty_Musing_for_Piano.xml,,14,4 7/8
0.0,<music21.chord.Chord F4>,[0],[5],Beatty_Musing_for_Piano.xml,,15,1
0.625,<music21.chord.Chord G#3 D4>,"[0, 6]","[2, 8]",Beatty_Musing_for_Piano.xml,,15,1 5/8
0.75,<music21.chord.Chord G#4 D5>,"[0, 6]","[2, 8]",Beatty_Musing_for_Piano.xml,,15,1 3/4
1.0,<music21.chord.Chord A#3>,[0],[10],Beatty_Musing_for_Piano.xml,,15,2
1.125,<music21.chord.Chord E4>,[0],[4],Beatty_Musing_for_Piano.xml,,15,2 1/8
