offset,Chord,NormalForm,PCsInNormalForm,Phrase Boundary,Measure Number,Measure Count
0,<music21.chord.Chord D4>,[0],[2],1,,
0.5,<music21.chord.Chord F#4>,[0],[6],,,
1,<music21.chord.Chord F#4>,[0],[6],,,
1.5,<music21.chord.Chord A4>,[0],[9],,,
2,<music21.chord.Chord A4>,[0],[9],,,
2.5,<music21.chord.Chord D5>,[0],[2],,,
3,<music21.chord.Chord D5>,[0],[2],,,
3.5,<music21.chord.Chord F#5>,[0],[6],,,
4,<music21.chord.Chord F#5 A3 G4>,"[0, 1, 3]","[6, 7, 9]",,,
4.5,<music21.chord.Chord E5 A3 G4>,"[0, 3, 5]","[4, 7, 9]",,,
5,<music21.chord.Chord C#5 A3 G4>,"[0, 2, 6]","[7, 9, 1]",,,
5.5,<music21.chord.Chord A4 A3 G4>,"[0, 2]","[7, 9]",,,
5.875,<music21.chord.Chord A4>,[0],[9],,,
6,<music21.chord.Chord A5 G4>,"[0, 2]","[7, 9]",,,
6.5,<music21.chord.Chord A5 E4>,"[0, 5]","[4, 9]",,,
7,<music21.chord.Chord A5 C#4>,"[0, 4]","[9, 1]",,,
7.5,<music21.chord.Chord A5 A3>,[0],[9],,,
7.875,<music21.chord.Chord A3>,[0],[9],,,
8,<music21.chord.Chord A5 D4 F#4>,"[0, 4, 7]","[2, 6, 9]",,,
8.5,<music21.chord.Chord F#6 D4 F#4>,"[0, 4]","[2, 6]",,,
8.875,<music21.chord.Chord D4 F#4>,"[0, 4]","[2, 6]",,,
9,<music21.chord.Chord F#6>,[0],[6],,,
9.5,<music21.chord.Chord D6>,[0],[2],,,
10,<music21.chord.Chord D6>,[0],[2],,,
10.5,<music21.chord.Chord A5>,[0],[9],,,
11,<music21.chord.Chord A5>,[0],[9],,,
11.5,<music21.chord.Chord F#5>,[0],[6],,,
12,<music21.chord.Chord F#5 A3 G4>,"[0, 1, 3]","[6, 7, 9]",,,
12.5,<music21.chord.Chord E5 A3 G4>,"[0, 3, 5]","[4, 7, 9]",,,
13,<music21.chord.Chord C#5 A3 G4>,"[0, 2, 6]","[7, 9, 1]",,,
13.5,<music21.chord.Chord A4 A3 G4>,"[0, 2]","[7, 9]",,,
13.875,<music21.chord.Chord A4>,[0],[9],,,
14,<music21.chord.Chord A5 G4>,"[0, 2]","[7, 9]",,,
14.5,<music21.chord.Chord A5 E4>,"[0, 5]","[4, 9]",,,
15,<music21.chord.Chord A5 C#4>,"[0, 4]","[9, 1]",,,
