offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
0.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,1,1
0.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,1,1 1/2
1.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,1,2 1/2
1.75,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, -4]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,,,1,2 3/4
2.0,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, -4]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,,,1,3
3.0,<music21.chord.Chord C-2 D-3 B-3 E-4 G4>,"[0, 3, 4, -6, -4]","[7, 10, 11, 1, 3]",Copland_Piano_Blues_No_3.mxl,,,1,4
0.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,2,1
0.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,2,1 1/2
1.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,2,2 1/2
1.75,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, -4]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,,,2,2 3/4
2.0,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, -4]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,,,2,3
3.0,<music21.chord.Chord G-1 G-2 D-3 B-3 F4 A-4 D-5 F5>,"[0, 1, 3, 5, -4]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,,,2,4
0.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,3,1
0.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,3,1 1/2
1.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,3,2 1/2
1.75,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, -4]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,,,3,2 3/4
2.0,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, -4]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,,,3,3
3.0,<music21.chord.Chord C-2 D-3 B-3 E-4 G4>,"[0, 3, 4, -6, -4]","[7, 10, 11, 1, 3]",Copland_Piano_Blues_No_3.mxl,,,3,4
0.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,4,1
0.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,4,1 1/2
1.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,,,4,2 1/2
1.75,<music21.chord.Chord G-2 D-3 A-3 B-3 F4 C5>,"[0, 1, 3, 5, -5, -4]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,,,4,2 3/4
2.0,<music21.chord.Chord G-2 D-3 A-3 B-3 F4 C5>,"[0, 1, 3, 5, -5, -4]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,,,4,3
3.0,<music21.chord.Chord G-1 G-2 D-3 A-3 B-3 F4 C5 F5 A-5>,"[0, 1, 3, 5, -5, -4]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,,,4,4
0.0,<music21.chord.Chord F3 E-4 C5>,"[0, 3, 5]","[0, 3, 5]",Copland_Piano_Blues_No_3.mxl,,,5,1
0.5,<music21.chord.Chord A-3 F4 A-4>,"[0, 3]","[5, 8]",Copland_Piano_Blues_No_3.mxl,,,5,2
1.5,<music21.chord.Chord B-3 D-4 C5>,"[0, -10, -9]","[10, 0, 1]",Copland_Piano_Blues_No_3.mxl,,,5,4
2.5,<music21.chord.Chord D-3 F4 B-4>,"[0, -9, -5]","[10, 1, 5]",Copland_Piano_Blues_No_3.mxl,,,5,6
0.0,<music21.chord.Chord E-3 D-4 A-4>,"[0, 2, 7]","[1, 3, 8]",Copland_Piano_Blues_No_3.mxl,,,6,1
0.5,<music21.chord.Chord F3 E-4 C5>,"[0, 3, 5]","[0, 3, 5]",Copland_Piano_Blues_No_3.mxl,,,6,2
1.5,<music21.chord.Chord A-3 F4 B-4>,"[0, 3, 5]","[5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,6,4
2.5,<music21.chord.Chord B-2 A-3 F4 B-4 D-5 F5>,"[0, 3, 5, -4]","[5, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,,,6,6
0.0,<music21.chord.Chord F2 A-3 E-4 C5>,"[0, 3, 5, 8]","[0, 3, 5, 8]",Copland_Piano_Blues_No_3.mxl,,,7,1
0.5,<music21.chord.Chord A-2 B-3 F4 A-4>,"[0, 3, 5]","[5, 8, 10]",Copland_Piano_Blues_No_3.mxl,,,7,2
