offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,Phrase Bounday,Song Beat Number,Measure Number,Measure Beat Number
0,<music21.chord.Chord C4>,[0],[0],[0],1,1,1,1
0.25,<music21.chord.Chord D4>,[0],[2],[2],,1,1,1
0.5,<music21.chord.Chord E4>,[0],[4],[4],,1,1,1
0.75,<music21.chord.Chord F4>,[0],[5],[5],,1,1,1
1,<music21.chord.Chord G4>,[0],[7],[7],,2,1,2
1.25,<music21.chord.Chord F4>,[0],[5],[5],,2,1,2
1.5,<music21.chord.Chord E4>,[0],[4],[4],,2,1,2
1.75,<music21.chord.Chord D4>,[0],[2],[2],,2,1,2
2,<music21.chord.Chord C4>,[0],[0],[0],,3,1,3
2.25,<music21.chord.Chord D4>,[0],[2],[2],,3,1,3
2.5,<music21.chord.Chord E4>,[0],[4],[4],,3,1,3
2.75,<music21.chord.Chord F4>,[0],[5],[5],,3,1,3
3,<music21.chord.Chord G4>,[0],[7],[7],,4,1,4
3.25,<music21.chord.Chord F4>,[0],[5],[5],,4,1,4
3.5,<music21.chord.Chord E4>,[0],[4],[4],,4,1,4
3.75,<music21.chord.Chord D4>,[0],[2],[2],,4,1,4
4,<music21.chord.Chord C4 E3 G3>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",,5,2,1
4.25,<music21.chord.Chord D4>,[0],[2],[2],,5,2,1
4.5,<music21.chord.Chord E4>,[0],[4],[4],,5,2,1
4.75,<music21.chord.Chord F4>,[0],[5],[5],,5,2,1
5,<music21.chord.Chord G4>,[0],[7],[7],,6,2,2
5.25,<music21.chord.Chord F4>,[0],[5],[5],,6,2,2
5.5,<music21.chord.Chord E4>,[0],[4],[4],,6,2,2
5.75,<music21.chord.Chord D4>,[0],[2],[2],,6,2,2
6,<music21.chord.Chord C4>,[0],[0],[0],,7,2,3
6.25,<music21.chord.Chord D4>,[0],[2],[2],,7,2,3
6.5,<music21.chord.Chord E4>,[0],[4],[4],,7,2,3
6.75,<music21.chord.Chord F4>,[0],[5],[5],,7,2,3
7,<music21.chord.Chord G4 E3 G3>,"[0, 3]","[4, 7]","[4, 7]",,8,2,4
7.25,<music21.chord.Chord A4>,[0],[9],[9],,8,2,4
7.5,<music21.chord.Chord B4>,[0],[11],[11],,8,2,4
7.75,<music21.chord.Chord C5>,[0],[0],[0],,8,2,4
8,<music21.chord.Chord D4 F3 A3>,"[0, 3, 7]","[2, 5, 9]","[2, 5, 9]",,9,3,1
8.25,<music21.chord.Chord E4>,[0],[4],[4],,9,3,1
8.5,<music21.chord.Chord F4>,[0],[5],[5],,9,3,1
8.75,<music21.chord.Chord G4>,[0],[7],[7],,9,3,1
9,<music21.chord.Chord A4>,[0],[9],[9],,10,3,2
9.25,<music21.chord.Chord G4>,[0],[7],[7],,10,3,2
9.5,<music21.chord.Chord F4>,[0],[5],[5],,10,3,2
9.75,<music21.chord.Chord E4>,[0],[4],[4],,10,3,2
10,<music21.chord.Chord D4>,[0],[2],[2],,11,3,3
10.25,<music21.chord.Chord E4>,[0],[4],[4],,11,3,3
10.5,<music21.chord.Chord F4>,[0],[5],[5],,11,3,3
10.75,<music21.chord.Chord G4>,[0],[7],[7],,11,3,3
11,<music21.chord.Chord A4 F3 A3>,"[0, 4]","[5, 9]","[5, 9]",,12,3,4
11.25,<music21.chord.Chord B4>,[0],[11],[11],,12,3,4
11.5,<music21.chord.Chord C5>,[0],[0],[0],,12,3,4
11.75,<music21.chord.Chord D5>,[0],[2],[2],,12,3,4
12,<music21.chord.Chord B4 G3 B3>,"[0, 4]","[7, 11]","[7, 11]",,13,4,1
12.25,<music21.chord.Chord A4>,[0],[9],[9],,13,4,1
12.5,<music21.chord.Chord B4>,[0],[11],[11],,13,4,1
12.75,<music21.chord.Chord C5>,[0],[0],[0],,13,4,1
13,<music21.chord.Chord D5>,[0],[2],[2],,14,4,2
13.25,<music21.chord.Chord C5>,[0],[0],[0],,14,4,2
13.5,<music21.chord.Chord B4>,[0],[11],[11],,14,4,2
13.75,<music21.chord.Chord A4>,[0],[9],[9],,14,4,2
14,<music21.chord.Chord G4>,[0],[7],[7],,15,4,3
14.25,<music21.chord.Chord A4>,[0],[9],[9],,15,4,3
14.5,<music21.chord.Chord B4>,[0],[11],[11],,15,4,3
14.75,<music21.chord.Chord C5>,[0],[0],[0],,15,4,3
15,<music21.chord.Chord D5 B3 D4>,"[0, 3]","[11, 2]","[11, 2]",,16,4,4
15.25,<music21.chord.Chord E5>,[0],[4],[4],,16,4,4
15.5,<music21.chord.Chord F5>,[0],[5],[5],,16,4,4
15.75,<music21.chord.Chord G5>,[0],[7],[7],,16,4,4
16,<music21.chord.Chord E5 C4 E4>,"[0, 4]","[0, 4]","[0, 4]",,17,5,1
16.25,<music21.chord.Chord D5>,[0],[2],[2],,17,5,1
16.5,<music21.chord.Chord E5>,[0],[4],[4],,17,5,1
16.75,<music21.chord.Chord F5>,[0],[5],[5],,17,5,1
17,<music21.chord.Chord G5>,[0],[7],[7],,18,5,2
17.25,<music21.chord.Chord F5>,[0],[5],[5],,18,5,2
17.5,<music21.chord.Chord E5>,[0],[4],[4],,18,5,2
17.75,<music21.chord.Chord D5>,[0],[2],[2],,18,5,2
18,<music21.chord.Chord C5>,[0],[0],[0],,19,5,3
18.25,<music21.chord.Chord D5>,[0],[2],[2],,19,5,3
18.5,<music21.chord.Chord E5>,[0],[4],[4],,19,5,3
18.75,<music21.chord.Chord F5>,[0],[5],[5],,19,5,3
19,<music21.chord.Chord G5>,[0],[7],[7],,20,5,4
19.25,<music21.chord.Chord F5>,[0],[5],[5],,20,5,4
19.5,<music21.chord.Chord E5>,[0],[4],[4],,20,5,4
19.75,<music21.chord.Chord D5>,[0],[2],[2],,20,5,4
20,<music21.chord.Chord C5 E4 G4>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",,21,6,1
20.25,<music21.chord.Chord D5>,[0],[2],[2],,21,6,1
20.5,<music21.chord.Chord E5>,[0],[4],[4],,21,6,1
20.75,<music21.chord.Chord F5>,[0],[5],[5],,21,6,1
21,<music21.chord.Chord G5>,[0],[7],[7],,22,6,2
21.25,<music21.chord.Chord F5>,[0],[5],[5],,22,6,2
21.5,<music21.chord.Chord E5>,[0],[4],[4],,22,6,2
21.75,<music21.chord.Chord D5>,[0],[2],[2],,22,6,2
22,<music21.chord.Chord C5>,[0],[0],[0],,23,6,3
22.25,<music21.chord.Chord D5>,[0],[2],[2],,23,6,3
22.5,<music21.chord.Chord E5>,[0],[4],[4],,23,6,3
22.75,<music21.chord.Chord F5>,[0],[5],[5],,23,6,3
23,<music21.chord.Chord G5 E4 G4>,"[0, 3]","[4, 7]","[4, 7]",,24,6,4
23.25,<music21.chord.Chord A5>,[0],[9],[9],,24,6,4
23.5,<music21.chord.Chord B5>,[0],[11],[11],,24,6,4
23.75,<music21.chord.Chord C6>,[0],[0],[0],,24,6,4
