offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
5.5,<music21.chord.Chord E-2>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
6.0,<music21.chord.Chord G#1 G#2>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
6.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
7.0,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
7.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
8.0,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
8.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
9.0,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
9.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
10.0,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
10.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
11.0,<music21.chord.Chord B3 E-4 G#4 G1 G2>,"[0, 1, 4, 8]","[7, 8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
11.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
12.0,<music21.chord.Chord B1 B2>,[0],[11],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
12.5,<music21.chord.Chord G#3 C#4 E4 G#4 B1 B2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
13.0,<music21.chord.Chord G#3 C#4 E4 G#4 B1 B2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
13.375,<music21.chord.Chord G#3 C#4 E4 G#4>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
13.5,<music21.chord.Chord B-1 B-2>,[0],[10],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
14.0,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
14.5,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
15.0,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
15.5,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
16.0,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
