offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
0.0,<music21.chord.Chord B0 B2 F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,,1,1
0.0,<music21.chord.Chord B4 C#6>,"[0, -10]","[11, 1]",Part_Fuer_Alina.mxl,,2,1
1.0,<music21.chord.Chord B4 D6>,"[0, -9]","[11, 2]",Part_Fuer_Alina.mxl,,2,2
0.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,,3,1
1.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,,3,1 1/3
2.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,,3,1 2/3
0.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,,4,1
1.0,<music21.chord.Chord B4 D6>,"[0, -9]","[11, 2]",Part_Fuer_Alina.mxl,,4,2
2.0,<music21.chord.Chord B4 C#6>,"[0, -10]","[11, 1]",Part_Fuer_Alina.mxl,,4,3
3.0,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,,4,4
0.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,,5,1
1.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,,5,2
2.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,,5,3
3.0,<music21.chord.Chord B4 D6>,"[0, -9]","[11, 2]",Part_Fuer_Alina.mxl,,5,4
4.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,,5,5
0.0,<music21.chord.Chord B4 D6>,"[0, -9]","[11, 2]",Part_Fuer_Alina.mxl,,6,1
1.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,,6,1 1/3
2.0,<music21.chord.Chord F#5 B6>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,,6,1 2/3
3.0,<music21.chord.Chord B5 C#7>,"[0, -10]","[11, 1]",Part_Fuer_Alina.mxl,,6,2
