offset,Chord,NormalForm,PCsInNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
16.125,<music21.chord.Chord F5>,[0],[5],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,,
16.25,<music21.chord.Chord B5 F5>,"[0, 6]","[5, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,,
16.625,<music21.chord.Chord F5 B5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,1,,
17.125,<music21.chord.Chord F5 B5 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,1,,
17.625,<music21.chord.Chord B-4 B-5 F5 B5 F#3 E-4 E-3>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,2,,
18.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,2,,
18.625,<music21.chord.Chord F5 B5 B-4 B-5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,3,,
19.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,3,,
19.625,<music21.chord.Chord B-4 B-5 F5 B5 F#3 E-4 E-3>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,4,,
20.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,4,,
20.625,<music21.chord.Chord E-5 E-6 F5 B5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,5,,
21.125,<music21.chord.Chord F5 B5 E-5 E-6 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,5,,
21.625,<music21.chord.Chord F5 B5 E-5 E-6 F#3 E-4 E-3>,"[0, 4, 6, 7]","[11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,6,,
22.125,<music21.chord.Chord F5 B5 E-5 E-6 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,6,,
22.625,<music21.chord.Chord B-4 B-5 F5 B5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,7,,
23.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,7,,
23.625,<music21.chord.Chord F5 B5 B-4 B-5 F#3 E-4 E-3>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,8,,
24.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,8,,
24.625,<music21.chord.Chord F5 B5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,9,,
25.125,<music21.chord.Chord F5 B5 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,9,,
25.625,<music21.chord.Chord B-4 B-5 F5 B5 F#3 E-4 E-3>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,10,,
26.125,<music21.chord.Chord F5 B5 B-4 B-5 F3 G#3 E-4>,"[0, 2, 5, 7, 8]","[3, 5, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,10,,
26.625,<music21.chord.Chord G#4 G#5 F5 B5 F#3 B-3 E-4>,"[0, 2, 3, 5, 7, 8]","[3, 5, 6, 8, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,11,,
27.125,<music21.chord.Chord F5 B5 G#4 G#5 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,11,,
27.625,<music21.chord.Chord F5 B5 G#4 G#5 F#3 E-4 E-3>,"[0, 2, 3, 5, 8]","[3, 5, 6, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,12,,
28.125,<music21.chord.Chord F#4 F#5 F5 B5 F#3 B-3 E-4>,"[0, 1, 5, 7, 8]","[10, 11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,12,,
28.625,<music21.chord.Chord G#4 G#5 F5 B5 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,13,,
29.125,<music21.chord.Chord F5 B5 G#4 G#5 F#3 E-4 E-3>,"[0, 2, 3, 5, 8]","[3, 5, 6, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,13,,
29.625,<music21.chord.Chord F5 B5 F3 E-4 C#3>,"[0, 2, 4, 6]","[11, 1, 3, 5]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,14,,
30.125,<music21.chord.Chord F5 B5 F#3 E-4 E-3>,"[0, 4, 6, 7]","[11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,14,,
30.625,<music21.chord.Chord G#4 G#5 F5 B5 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,15,,
31.125,<music21.chord.Chord F5 B5 G#4 G#5 F#3 E-4 E-3>,"[0, 2, 3, 5, 8]","[3, 5, 6, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,15,,
31.625,<music21.chord.Chord F5 B5 G#4 G#5 F3 E-4 C#3>,"[0, 2, 4, 6, 9]","[11, 1, 3, 5, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,16,,
32.125,<music21.chord.Chord G#4 G#5 F5 B5 F#3 E-4 E-3>,"[0, 2, 3, 5, 8]","[3, 5, 6, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,16,,
32.625,<music21.chord.Chord C#5 C#6 F5 B5 F3 G#3 C#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,17,,
33.125,<music21.chord.Chord F5 B5 C#5 C#6 F#3 C#4 E-3>,"[0, 2, 4, 6, 7]","[11, 1, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,17,,
33.625,<music21.chord.Chord F5 B5 C#5 C#6 F3 C#4 C#3>,"[0, 2, 6]","[11, 1, 5]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,18,,
34.125,<music21.chord.Chord F5 B5 C#5 C#6 F#3 C#4 E-3>,"[0, 2, 4, 6, 7]","[11, 1, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,18,,
34.625,<music21.chord.Chord G#4 G#5 F5 B5 F3 G#3 C#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,19,,
35.125,<music21.chord.Chord F5 B5 G#4 G#5 F#3 C#4 E-3>,"[0, 2, 4, 6, 7, 9]","[11, 1, 3, 5, 6, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,19,,
35.625,<music21.chord.Chord F5 B5 G#4 G#5 F3 C#4 C#3>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,20,,
36.125,<music21.chord.Chord F5 B5 G#4 G#5 F#3 C#4 E-3>,"[0, 2, 4, 6, 7, 9]","[11, 1, 3, 5, 6, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,20,,
36.625,<music21.chord.Chord F5 B5 F3 G#3 C#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,21,,
37.125,<music21.chord.Chord F5 B5 F#3 C#4 E-3>,"[0, 2, 4, 6, 7]","[11, 1, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,21,,
37.625,<music21.chord.Chord G#4 G#5 F5 B5 F3 C#4 C#3>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,22,,
38.125,<music21.chord.Chord F5 B5 G#4 G#5 F#3 C#4 E-3>,"[0, 2, 4, 6, 7, 9]","[11, 1, 3, 5, 6, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,22,,
38.625,<music21.chord.Chord F#4 F#5 F5 B5 F3 G#3 C#4>,"[0, 1, 3, 6, 8]","[5, 6, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,23,,
39.125,<music21.chord.Chord F5 B5 F#4 F#5 F#3 C#4 E-3>,"[0, 2, 4, 6, 7]","[11, 1, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,23,,
39.625,<music21.chord.Chord F5 B5 F#4 F#5 F3 C#4 C#3>,"[0, 2, 6, 7]","[11, 1, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,24,,
40.125,<music21.chord.Chord F4 B5 F3 G#3 C#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,24,,
