offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
0.0,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,,,1,1
0.5,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,,,1,1 1/2
1.5,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,,,1,2 1/2
2.0,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,,,1,3
3.0,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,,,1,4
0.0,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,,,2,1
1.0,<music21.chord.Chord D5>,[0],[2],Schnittke_Tango.mxl,,,2,2
1.5,<music21.chord.Chord E-5>,[0],[3],Schnittke_Tango.mxl,,,2,2 1/2
2.0,<music21.chord.Chord D5>,[0],[2],Schnittke_Tango.mxl,,,2,3
2.5,<music21.chord.Chord E-5>,[0],[3],Schnittke_Tango.mxl,,,2,3 1/2
3.0,<music21.chord.Chord F5>,[0],[5],Schnittke_Tango.mxl,,,2,4
3.5,<music21.chord.Chord E-5>,[0],[3],Schnittke_Tango.mxl,,,2,4 1/2
0.0,<music21.chord.Chord E-3 G-3 B-3 G-4>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,,,3,1
0.5,<music21.chord.Chord E-3 G-3 B-3 G-4>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,,,3,1 1/2
1.5,<music21.chord.Chord E-3 G-3 B-3 G-4>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,,,3,2 1/2
2.0,<music21.chord.Chord E-3 G-3 B-3 G-4>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,,,3,3
