offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
0.0,<music21.chord.Chord B3>,[0],[11],Sculthorpe_Sea_Chant.mxl,,,0,2 2/3
0.0,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,1,1
0.75,<music21.chord.Chord E3 G3 B3 F#4>,"[0, 2, 3, 7]","[4, 6, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,1,1 1/2
1.0,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,1,1 2/3
1.5,<music21.chord.Chord E3 A3 C#4 A4>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,1,2
2.25,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, -8, -5]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,1,2 1/2
2.5,<music21.chord.Chord E3 A3 C#4 A4>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,1,2 2/3
0.0,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,2,1
0.5,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,2,1 1/3
1.5,<music21.chord.Chord E3 A3 C#4 E4>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,2,2
2.5,<music21.chord.Chord E3 A3 C#4 E4>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,2,2 2/3
0.0,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,3,1
0.75,<music21.chord.Chord E3 G3 B3 A4>,"[0, 3, 5, 7]","[4, 7, 9, 11]",Sculthorpe_Sea_Chant.mxl,,,3,1 1/2
1.0,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,3,1 2/3
1.5,<music21.chord.Chord E3 A3 C#4 E5>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,3,2
2.25,<music21.chord.Chord E3 A3 C#4 D5>,"[0, -8, -7, -5]","[9, 1, 2, 4]",Sculthorpe_Sea_Chant.mxl,,,3,2 1/2
2.5,<music21.chord.Chord E3 A3 C#4 E5>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,3,2 2/3
0.0,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,4,1
1.5,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, -8, -5]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,4,2
2.0,<music21.chord.Chord E3 A3 C#4>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,4,2 1/3
2.5,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, -8, -5]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,4,2 2/3
0.0,<music21.chord.Chord F3 A3 A4>,"[0, 4]","[5, 9]",Sculthorpe_Sea_Chant.mxl,,,5,1
0.5,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,,,5,1 1/3
1.0,<music21.chord.Chord F4 C5>,"[0, 5]","[0, 5]",Sculthorpe_Sea_Chant.mxl,,,5,1 2/3
1.5,<music21.chord.Chord C4 C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,,,5,2
2.0,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,,,5,2 1/3
2.5,<music21.chord.Chord A4>,[0],[9],Sculthorpe_Sea_Chant.mxl,,,5,2 2/3
0.0,<music21.chord.Chord E3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,6,1
0.5,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,,,6,1 1/3
1.0,<music21.chord.Chord E4 B4>,"[0, -7]","[11, 4]",Sculthorpe_Sea_Chant.mxl,,,6,1 2/3
1.5,<music21.chord.Chord B3 B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,,,6,2
2.0,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,,,6,2 1/3
2.5,<music21.chord.Chord G4>,[0],[7],Sculthorpe_Sea_Chant.mxl,,,6,2 2/3
0.0,<music21.chord.Chord F3 A3 A4>,"[0, 4]","[5, 9]",Sculthorpe_Sea_Chant.mxl,,,7,1
0.5,<music21.chord.Chord A4>,[0],[9],Sculthorpe_Sea_Chant.mxl,,,7,1 1/3
0.75,<music21.chord.Chord G4>,[0],[7],Sculthorpe_Sea_Chant.mxl,,,7,1 1/2
1.0,<music21.chord.Chord C4 A4>,"[0, -9]","[9, 0]",Sculthorpe_Sea_Chant.mxl,,,7,1 2/3
1.5,<music21.chord.Chord A3 D4>,"[0, -7]","[9, 2]",Sculthorpe_Sea_Chant.mxl,,,7,2
2.0,<music21.chord.Chord D4>,[0],[2],Sculthorpe_Sea_Chant.mxl,,,7,2 1/3
2.25,<music21.chord.Chord F4>,[0],[5],Sculthorpe_Sea_Chant.mxl,,,7,2 1/2
2.5,<music21.chord.Chord D4>,[0],[2],Sculthorpe_Sea_Chant.mxl,,,7,2 2/3
0.0,<music21.chord.Chord E3 G#3 E4>,"[0, 4]","[4, 8]",Sculthorpe_Sea_Chant.mxl,,,8,1
0.5,<music21.chord.Chord E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,,,8,1 1/3
1.0,<music21.chord.Chord B2 E4>,"[0, -7]","[11, 4]",Sculthorpe_Sea_Chant.mxl,,,8,1 2/3
1.5,<music21.chord.Chord E2 E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,,,8,2
2.5,<music21.chord.Chord B3>,[0],[11],Sculthorpe_Sea_Chant.mxl,,,8,2 2/3
0.0,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,9,1
0.75,<music21.chord.Chord E3 G3 B3 F#4>,"[0, 2, 3, 7]","[4, 6, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,9,1 1/2
1.0,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,9,1 2/3
1.5,<music21.chord.Chord E3 A3 C#4 A4>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,9,2
2.25,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, -8, -5]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,9,2 1/2
2.5,<music21.chord.Chord E3 A3 C#4 A4>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,9,2 2/3
0.0,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,10,1
0.5,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,10,1 1/3
1.5,<music21.chord.Chord E3 A3 C#4 E4>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,10,2
2.5,<music21.chord.Chord E3 A3 C#4 E4>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,10,2 2/3
0.0,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,11,1
0.75,<music21.chord.Chord E3 G3 B3 A4>,"[0, 3, 5, 7]","[4, 7, 9, 11]",Sculthorpe_Sea_Chant.mxl,,,11,1 1/2
1.0,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,11,1 2/3
1.5,<music21.chord.Chord E3 A3 C#4 E5>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,11,2
2.25,<music21.chord.Chord E3 A3 C#4 D5>,"[0, -8, -7, -5]","[9, 1, 2, 4]",Sculthorpe_Sea_Chant.mxl,,,11,2 1/2
2.5,<music21.chord.Chord E3 A3 C#4 E5>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,11,2 2/3
0.0,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,,,12,1
1.5,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, -8, -5]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,12,2
2.0,<music21.chord.Chord E3 A3 C#4>,"[0, -8, -5]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,,,12,2 1/3
