offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
0.0,<music21.chord.Chord B-3>,[0],[10],Simpson_Invention_no6.xml,,,1,1
0.5,<music21.chord.Chord B-3 D4>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,1,1 1/2
1.0,<music21.chord.Chord F3 F4>,[0],[5],Simpson_Invention_no6.xml,,,1,2
1.5,<music21.chord.Chord D3 B-4>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,1,2 1/2
0.0,<music21.chord.Chord E-3 C5>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,,,2,1
0.5,<music21.chord.Chord E-3 B-4>,"[0, -7]","[10, 3]",Simpson_Invention_no6.xml,,,2,1 1/2
1.0,<music21.chord.Chord F3 A4>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,,,2,2
1.5,<music21.chord.Chord F3 G4>,"[0, 2]","[5, 7]",Simpson_Invention_no6.xml,,,2,2 1/2
0.0,<music21.chord.Chord B-2 F4>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,,,3,1
0.5,<music21.chord.Chord D3 B-4>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,3,1 1/2
1.0,<music21.chord.Chord F3 B-4>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,,,3,2
1.5,<music21.chord.Chord B-3 D5>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,3,2 1/2
0.0,<music21.chord.Chord C4 E-5>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,,,4,1
0.5,<music21.chord.Chord B-3 E-5>,"[0, -7]","[10, 3]",Simpson_Invention_no6.xml,,,4,1 1/2
1.0,<music21.chord.Chord A3 F5>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,,,4,2
1.125,<music21.chord.Chord A3 E-5>,"[0, 6]","[3, 9]",Simpson_Invention_no6.xml,,,4,2 1/8
1.25,<music21.chord.Chord A3 F5>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,,,4,2 1/4
1.375,<music21.chord.Chord A3 E-5>,"[0, 6]","[3, 9]",Simpson_Invention_no6.xml,,,4,2 3/8
1.5,<music21.chord.Chord F3 F5>,[0],[5],Simpson_Invention_no6.xml,,,4,2 1/2
1.625,<music21.chord.Chord F3 E-5>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,,,4,2 5/8
1.75,<music21.chord.Chord F3 D5>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,,,4,2 3/4
1.875,<music21.chord.Chord F3 E-5>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,,,4,2 7/8
0.0,<music21.chord.Chord B-3 D5>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,5,1
0.5,<music21.chord.Chord B-3 D5>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,5,1 1/2
1.0,<music21.chord.Chord D4 F5>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,,,5,2
1.5,<music21.chord.Chord F4 B-5>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,,,5,2 1/2
0.0,<music21.chord.Chord E-4 C6>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,,,6,1
0.5,<music21.chord.Chord E-4 B-5>,"[0, -7]","[10, 3]",Simpson_Invention_no6.xml,,,6,1 1/2
1.0,<music21.chord.Chord F4 A5>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,,,6,2
1.5,<music21.chord.Chord F4 G5>,"[0, 2]","[5, 7]",Simpson_Invention_no6.xml,,,6,2 1/2
0.0,<music21.chord.Chord B-3 F5>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,,,7,1
0.5,<music21.chord.Chord D4 B-5>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,7,1 1/2
1.0,<music21.chord.Chord F4 B-5>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,,,7,2
1.5,<music21.chord.Chord B-4 D6>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,7,2 1/2
0.0,<music21.chord.Chord C5 E-6>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,,,8,1
0.5,<music21.chord.Chord B-4 E-6>,"[0, -7]","[10, 3]",Simpson_Invention_no6.xml,,,8,1 1/2
1.0,<music21.chord.Chord A4 F6>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,,,8,2
1.125,<music21.chord.Chord A4 E-6>,"[0, 6]","[3, 9]",Simpson_Invention_no6.xml,,,8,2 1/8
1.25,<music21.chord.Chord A4 F6>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,,,8,2 1/4
1.375,<music21.chord.Chord A4 E-6>,"[0, 6]","[3, 9]",Simpson_Invention_no6.xml,,,8,2 3/8
1.5,<music21.chord.Chord F4 F6>,[0],[5],Simpson_Invention_no6.xml,,,8,2 1/2
1.625,<music21.chord.Chord F4 E-6>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,,,8,2 5/8
1.75,<music21.chord.Chord F4 D6>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,,,8,2 3/4
1.875,<music21.chord.Chord F4 E-6>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,,,8,2 7/8
0.0,<music21.chord.Chord B-4 D6>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,9,1
0.5,<music21.chord.Chord B-4 B-5>,[0],[10],Simpson_Invention_no6.xml,,,9,1 1/2
1.0,<music21.chord.Chord B-4 F5>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,,,9,2
1.5,<music21.chord.Chord B-4 D5>,"[0, -8]","[10, 2]",Simpson_Invention_no6.xml,,,9,2 1/2
0.0,<music21.chord.Chord E-4 B-5>,"[0, -7]","[10, 3]",Simpson_Invention_no6.xml,,,10,1
0.5,<music21.chord.Chord G4 B-5>,"[0, 3]","[7, 10]",Simpson_Invention_no6.xml,,,10,1 1/2
1.0,<music21.chord.Chord F4 D6>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,,,10,2
1.125,<music21.chord.Chord F4 C6>,"[0, 5]","[0, 5]",Simpson_Invention_no6.xml,,,10,2 1/8
1.25,<music21.chord.Chord F4 D6>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,,,10,2 1/4
