offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
1.0,<music21.chord.Chord G4>,[0],[7],Takemitsu_Romance.mxl,,,1,3
0.0,<music21.chord.Chord G3 D4>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,,,2,1
1.0,<music21.chord.Chord G3 G4>,[0],[7],Takemitsu_Romance.mxl,,,2,3
0.0,<music21.chord.Chord G3 D4 E-4 G4 E-5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,,,3,1
1.0,<music21.chord.Chord G3 D4 E-4 A4>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,,,3,3
0.0,<music21.chord.Chord A3 D4 E-4 A4 D5>,"[0, -7, -6]","[9, 2, 3]",Takemitsu_Romance.mxl,,,4,1
1.0,<music21.chord.Chord A3 D4 E-4 G4>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,,,4,3
0.0,<music21.chord.Chord C3 G3 C#4 D4 G4 C5>,"[0, 1, 2, 7]","[0, 1, 2, 7]",Takemitsu_Romance.mxl,,,5,1
1.0,<music21.chord.Chord D2 D4 G4 C5>,"[0, 2, 7]","[0, 2, 7]",Takemitsu_Romance.mxl,,,5,3
1.25,<music21.chord.Chord G2 D4 G4 C5>,"[0, 2, 7]","[0, 2, 7]",Takemitsu_Romance.mxl,,,5,3 1/2
0.0,<music21.chord.Chord G#3 A3 D4 D5>,"[0, 1, -6]","[8, 9, 2]",Takemitsu_Romance.mxl,,,6,1
1.0,<music21.chord.Chord G#3 A3 A4>,"[0, 1]","[8, 9]",Takemitsu_Romance.mxl,,,6,3
0.0,<music21.chord.Chord D3 E-3 G3 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,,,7,1
1.0,<music21.chord.Chord D3 E-3 G3 A4>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,,,7,3
0.0,<music21.chord.Chord D3 E-3 A3 C4 D4 G4 E-5>,"[0, 2, -7, -5, -4]","[7, 9, 0, 2, 3]",Takemitsu_Romance.mxl,,,8,1
1.0,<music21.chord.Chord D3 E-3 A3 C4 E-4>,"[0, -9, -7, -6]","[9, 0, 2, 3]",Takemitsu_Romance.mxl,,,8,3
0.0,<music21.chord.Chord E-3 G3 A3 D4 E-4 C5>,"[0, 2, -7, -5, -4]","[7, 9, 0, 2, 3]",Takemitsu_Romance.mxl,,,9,1
1.0,<music21.chord.Chord E-3 G3 A3 A4>,"[0, 4, 6]","[3, 7, 9]",Takemitsu_Romance.mxl,,,9,3
0.0,<music21.chord.Chord D3 E-3 G3 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,,,10,1
1.0,<music21.chord.Chord D3 E-3 G3 B-4>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Takemitsu_Romance.mxl,,,10,3
0.0,<music21.chord.Chord D3 D5>,[0],[2],Takemitsu_Romance.mxl,,,11,1
0.25,<music21.chord.Chord E-3 D5>,"[0, 1]","[2, 3]",Takemitsu_Romance.mxl,,,11,1 1/2
0.5,<music21.chord.Chord A3 C5>,"[0, -9]","[9, 0]",Takemitsu_Romance.mxl,,,11,2
0.75,<music21.chord.Chord C4 C5>,[0],[0],Takemitsu_Romance.mxl,,,11,2 1/2
1.0,<music21.chord.Chord C4 E-4>,"[0, 3]","[0, 3]",Takemitsu_Romance.mxl,,,11,3
0.0,<music21.chord.Chord E-3 D4 A4>,"[0, -7, -6]","[9, 2, 3]",Takemitsu_Romance.mxl,,,12,1
0.25,<music21.chord.Chord A3 D4 A4>,"[0, -7]","[9, 2]",Takemitsu_Romance.mxl,,,12,1 1/2
0.5,<music21.chord.Chord A3 D4 A4>,"[0, -7]","[9, 2]",Takemitsu_Romance.mxl,,,12,2
0.75,<music21.chord.Chord G3 D4 A4>,"[0, 2, -5]","[7, 9, 2]",Takemitsu_Romance.mxl,,,12,2 1/2
1.0,<music21.chord.Chord G3 D4>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,,,12,3
0.0,<music21.chord.Chord G3 D4 A4>,"[0, 2, -5]","[7, 9, 2]",Takemitsu_Romance.mxl,,,13,1
1.0,<music21.chord.Chord G3 C4>,"[0, -7]","[7, 0]",Takemitsu_Romance.mxl,,,13,3
0.0,<music21.chord.Chord E-3 A3 C4 B-4>,"[0, 1, -9, -6]","[9, 10, 0, 3]",Takemitsu_Romance.mxl,,,14,1
0.5,<music21.chord.Chord G3 C4 B-4>,"[0, 3, -7]","[7, 10, 0]",Takemitsu_Romance.mxl,,,14,2
1.0,<music21.chord.Chord D3 B-3>,"[0, -8]","[10, 2]",Takemitsu_Romance.mxl,,,14,3
0.0,<music21.chord.Chord C3 D3 A3 D4 G4 D5>,"[0, 2, -7, -5]","[7, 9, 0, 2]",Takemitsu_Romance.mxl,,,15,1
1.0,<music21.chord.Chord D3 E-3 G3 A4 E-5>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,,,15,3
0.0,<music21.chord.Chord D3 E-3 A3 G4 D5 G5>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,,,16,1
0.75,<music21.chord.Chord E-2 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,,,16,2 1/2
5/6,<music21.chord.Chord A2 G4 D5 G5>,"[0, 2, -5]","[7, 9, 2]",Takemitsu_Romance.mxl,,,16,2 2/3
11/12,<music21.chord.Chord E-3 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,,,16,2 5/6
1.0,<music21.chord.Chord G3 A5 D6 G#6 A6>,"[0, 1, 2, -5]","[7, 8, 9, 2]",Takemitsu_Romance.mxl,,,16,3
1.25,<music21.chord.Chord G3 E-5 G5>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,,,16,3 1/2
0.0,<music21.chord.Chord G3 E-5 G5>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,,,17,1
0.5,<music21.chord.Chord D4 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,,,17,2
0.75,<music21.chord.Chord C2 G4 C#5 D5>,"[0, 1, 2, 7]","[0, 1, 2, 7]",Takemitsu_Romance.mxl,,,17,2 1/2
5/6,<music21.chord.Chord G2 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,,,17,2 2/3
11/12,<music21.chord.Chord C3 G4 C#5 D5>,"[0, 1, 2, 7]","[0, 1, 2, 7]",Takemitsu_Romance.mxl,,,17,2 5/6
1.0,<music21.chord.Chord A3 C4 G4 A-4 C5>,"[0, 1, 2, -7]","[7, 8, 9, 0]",Takemitsu_Romance.mxl,,,17,3
0.0,<music21.chord.Chord A3 E-4 D5>,"[0, -7, -6]","[9, 2, 3]",Takemitsu_Romance.mxl,,,18,1
0.5,<music21.chord.Chord A3 A4 D5 G#5 A5>,"[0, 1, -6]","[8, 9, 2]",Takemitsu_Romance.mxl,,,18,2
1.0,<music21.chord.Chord G1 D2 G2 C6 G6 A-6 C7>,"[0, 1, -7, -5]","[7, 8, 0, 2]",Takemitsu_Romance.mxl,,,18,3
0.0,<music21.chord.Chord A3 E-4 D5>,"[0, -7, -6]","[9, 2, 3]",Takemitsu_Romance.mxl,,,19,1
0.5,<music21.chord.Chord E-3 F3 A3 E-5 G5 D6>,"[0, 1, 3, 5, 7]","[2, 3, 5, 7, 9]",Takemitsu_Romance.mxl,,,19,2
1.25,<music21.chord.Chord E-2 E-5 G5 D6>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,,,19,3 1/2
4/3,<music21.chord.Chord A2 E-5 G5 D6>,"[0, 1, 5, 7]","[2, 3, 7, 9]",Takemitsu_Romance.mxl,,,19,3 2/3
17/12,<music21.chord.Chord E-3 E-5 G5 D6>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,,,19,3 5/6
0.0,<music21.chord.Chord G3 A5 D6 G#6 A6>,"[0, 1, 2, -5]","[7, 8, 9, 2]",Takemitsu_Romance.mxl,,,20,1
1.0,<music21.chord.Chord G3 G4 E-5 G5>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,,,20,3
0.0,<music21.chord.Chord G3 G4 E-5 G5>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,,,21,1
0.5,<music21.chord.Chord G3 D4 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,,,21,2
0.75,<music21.chord.Chord C#2 D4 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,,,21,2 1/2
5/6,<music21.chord.Chord G2 D4 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,,,21,2 2/3
11/12,<music21.chord.Chord C#3 D4 G4 C#5 D5>,"[0, 1, 6]","[1, 2, 7]",Takemitsu_Romance.mxl,,,21,2 5/6
1.0,<music21.chord.Chord A3 C4 G4 A-4 C5>,"[0, 1, 2, -7]","[7, 8, 9, 0]",Takemitsu_Romance.mxl,,,21,3
0.0,<music21.chord.Chord A3 E-4 D5>,"[0, -7, -6]","[9, 2, 3]",Takemitsu_Romance.mxl,,,22,1
0.5,<music21.chord.Chord A3 A4 D5 G#5 A5>,"[0, 1, -6]","[8, 9, 2]",Takemitsu_Romance.mxl,,,22,2
1.0,<music21.chord.Chord G1 D2 E-3 C5 G#5 A-5 C6>,"[0, 1, -7, -5, -4]","[7, 8, 0, 2, 3]",Takemitsu_Romance.mxl,,,22,3
0.0,<music21.chord.Chord A3 E-4 D5>,"[0, -7, -6]","[9, 2, 3]",Takemitsu_Romance.mxl,,,23,1
0.5,<music21.chord.Chord G3 G4 D5 G5>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,,,23,2
0.75,<music21.chord.Chord D4 G4 D5 G5>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,,,23,2 1/2
1.0,<music21.chord.Chord E-4 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,,,23,3
0.0,<music21.chord.Chord E-4 G4 D5 G5>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,,,24,1
0.5,<music21.chord.Chord D4>,[0],[2],Takemitsu_Romance.mxl,,,24,2
1.0,<music21.chord.Chord A3>,[0],[9],Takemitsu_Romance.mxl,,,24,3
0.0,<music21.chord.Chord G2 A3>,"[0, 2]","[7, 9]",Takemitsu_Romance.mxl,,,25,1
1.0,<music21.chord.Chord G2 G4>,[0],[7],Takemitsu_Romance.mxl,,,25,3
0.0,<music21.chord.Chord D3 G3 E-4>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,,,26,1
0.375,<music21.chord.Chord D3 G3 D4>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,,,26,1 3/4
0.5,<music21.chord.Chord D3 G3 A3>,"[0, 2, -5]","[7, 9, 2]",Takemitsu_Romance.mxl,,,26,2
