,pieceName,movementName,genre,Composer,publicationYear,Epoch,Source,fileFormat,phraseAnalysis,fileConversion,getChords,File
piece1,25 Preludes Premiere,Suite 9 Placiditas Tranquillement in E major,Prelude,Alkan,1844,1820-1869,YCAC,CSV,N,NA,NA,
piece2,Etudes Op100,No10 Tendre Fleur D Major,Etude,Burgmuller,1858,1820-1869,YCAC,CSV,Y,NA,NA,Etudes Tendre Fleur Op100No10 D major
piece3,Nocturne Op55,No1,Nocturne F Minor,Chopin,1843,1820-1869,YCAC,CSV,Y,NA,NA,Nocturne 55 1 F Minor.mid
piece4,Etudes Op299,No9 C Major,Etude,Czerny,1830,1820-1869,YCAC,CSV,Y,NA,NA,
piece5,Six Bagatelles Op107,VI Rondo all Ungarese C Major,Bagatelle,Hummel,1827,1820-1869,YCAC,CSV,N,NA,NA,Six Bagatelles IV Rondo Op107 Bb Major.mid
piece6,S248,La Cloches Sonne C Minor,CharacterPiece,Liszt,1850,1820-1869,YCAC,CSV,Y,NA,NA,La Cloches Sonne S248 C minor.mid
piece7,Songs without Words Op102,No1 E Minor,CharacterPiece,Mendelssohn,1843,1820-1869,YCAC,CSV,Y,NA,NA,Songs without Words Op102 No1 E minor.mid
piece8,D850 II,Con Moto A Major,SoloSonata,Schubert,1825,1820-1869,YCAC,CSV,Y,NA,NA,Con moto D850 II A Major.mid 
piece9,Waldszenen Op82,Verrufene Stelle D minor,CharacterPiece,Schumann,1849,1820-1869,YCAC,CSV,Y,NA,NA,Waldszenen Op 82 Verrufene Stelle D minor.mid 
piece10,Studi-Poetici Op53,No12 Rimprovero G-sharp Minor,Etude,Haberbier,1861,1820-1869,YCAC,CSV,N,NA,NA,Studi-Poetici Rimprovero Op53No12 G# Minor.mid 
piece11,Suite Espana Op165,6 Zortzico E Major,OtherSolo,Albeniz,1890,1870-1919,YCAC,CSV,N,NA,NA,
piece12,Romanian Folk Dances,2 Braul D minor,OtherSolo,Bartok,1917,1870-1919,YCAC,CSV,N,NA,NA,Romanian Folk Dances 2 Braul D minor.mid
piece13,Rhapsody Op79,No2 G minor,CharacterPiece,Brahms,1879,1870-1919,YCAC,CSV,Y,NA,NA,Rhapsody 79 2 G minor.mid
piece14,Childrens Corner L113,No1,SoloSuitePartita,Debussy,1907,1870-1919,YCAC,CSV,Y,NA,NA,
piece15,Humoresque in B Op101,No2 B Major,OtherSolo,Dvorak,1894,1870-1919,YCAC,CSV,N,NA,NA,Humoresque in B Op101No2 B major.mid                         
piece16,S186 Lighting the Tree F Major,,CharacterPiece,Liszt,1876,1870-1919,YCAC,CSV,N,NA,NA,Lighting the Tree S186 F Major.mid
piece17,Prelude in C Op3,No2 C Major,Prelude,Rachmaninov,1887,1870-1919,YCAC,CSV,N,NA,NA,Prelude in C#- Op3No2 C#-.mid
piece18,6 Etudes for Piano Op111,Prelude and Fugue Eb Minor,PreludeAndFugue,Saint-Saens,1899,1870-1919,YCAC,CSV,N,NA,NA,6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid
piece19,Ogives,No3 D minor,OtherSolo,Satie,1885,1870-1919,YCAC,CSV,N,NA,NA,Ogives No3 D minor.mid 
piece20,Seven Preludes Op17,No5 F Minor,Prelude,Scriabin,1895,1870-1919,YCAC,CSV,N,NA,NA,Seven Preludes Op17No5 F minor.mid
piece21,Pianoflage C Major,,OtherSolo,Bargy,1922,1920-1969,YCAC,CSV,N,NA,NA,Pianoflage in C major.mid 
