measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
1,1,0.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,1 1/4,0.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,1 1/2,1.0,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,1 3/4,1.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,2,2.0,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,2 1/4,2.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,2 1/2,3.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,2 3/4,3.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,3,4.0,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,3 1/4,4.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,3 1/2,5.0,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
1,3 3/4,5.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,1,6.0,<music21.chord.Chord E3>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,1 1/4,6.5,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,1 1/2,7.0,<music21.chord.Chord G#3>,[0],[8],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,1 3/4,7.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,2,8.0,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,2 1/4,8.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,2 1/2,9.0,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,2 3/4,9.5,<music21.chord.Chord B2 E5>,"[0, 5]","[11, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,3,10.0,<music21.chord.Chord G#3 E5>,"[0, 4]","[4, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,3 1/4,10.5,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,3 1/2,11.0,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
2,3 3/4,11.5,<music21.chord.Chord B2 E5>,"[0, 5]","[11, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
3,1,12.0,<music21.chord.Chord E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
3,1 1/2,13.0,<music21.chord.Chord E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
3,2,14.0,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
3,2 1/4,14.5,<music21.chord.Chord G#2 E5>,"[0, 4]","[4, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
3,2 1/2,15.0,<music21.chord.Chord C#3 E5>,"[0, 3]","[1, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
3,2 3/4,15.5,<music21.chord.Chord B2 E5>,"[0, 5]","[11, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
3,3,16.0,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
3,3 1/4,16.5,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
3,3 1/2,17.0,<music21.chord.Chord B2 E5>,"[0, 5]","[11, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
3,3 3/4,17.5,<music21.chord.Chord A#2 E5>,"[0, 6]","[4, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,1,18.0,<music21.chord.Chord F#3 E5>,"[0, 2]","[4, 6]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,1 1/4,18.5,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,1 1/2,19.0,<music21.chord.Chord E3 E5>,[0],[4],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,1 3/4,19.5,<music21.chord.Chord A#3 E5>,"[0, 6]","[4, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,2,20.0,<music21.chord.Chord G#3 E5>,"[0, 4]","[4, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,2 1/4,20.5,<music21.chord.Chord D#3 E5>,"[0, 1]","[3, 4]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,2 1/2,21.0,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,2 3/4,21.5,<music21.chord.Chord A#2 A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,3,22.0,<music21.chord.Chord E3 A#5>,"[0, 6]","[4, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,3 1/4,22.5,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,3 1/2,23.0,<music21.chord.Chord G#3 A#5>,"[0, 2]","[8, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
4,3 3/4,23.5,<music21.chord.Chord D#3 A#5>,"[0, 5]","[10, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,1,24.0,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,1 1/4,24.5,<music21.chord.Chord A#2 A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,1 1/2,25.0,<music21.chord.Chord E3 A#5>,"[0, 6]","[4, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,1 3/4,25.5,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,2,26.0,<music21.chord.Chord G#3 A#5>,"[0, 2]","[8, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,2 1/4,26.5,<music21.chord.Chord D#3 A#5>,"[0, 5]","[10, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,2 1/2,27.0,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,2 3/4,27.5,<music21.chord.Chord A#2 A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,3,28.0,<music21.chord.Chord G#2 A#5>,"[0, 2]","[8, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,3 1/4,28.5,<music21.chord.Chord B2 A#5>,"[0, 1]","[10, 11]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,3 1/2,29.0,<music21.chord.Chord G#3 A#5>,"[0, 2]","[8, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
5,3 3/4,29.5,<music21.chord.Chord G#2 A#5>,"[0, 2]","[8, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
6,1,30.0,<music21.chord.Chord F#3 A#5>,"[0, 4]","[6, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
6,1 1/4,30.5,<music21.chord.Chord B2 A#5>,"[0, 1]","[10, 11]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
6,1 1/2,31.0,<music21.chord.Chord A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
6,2 1/2,33.0,<music21.chord.Chord F#3 A#5>,"[0, 4]","[6, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
6,2 3/4,33.5,<music21.chord.Chord G#2 A#5>,"[0, 2]","[8, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
6,3,34.0,<music21.chord.Chord C#3 A#5>,"[0, 3]","[10, 1]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
6,3 1/4,34.5,<music21.chord.Chord B2 A#5>,"[0, 1]","[10, 11]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
6,3 1/2,35.0,<music21.chord.Chord D#3 A#5>,"[0, 5]","[10, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
6,3 3/4,35.5,<music21.chord.Chord D#3 A#5>,"[0, 5]","[10, 3]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,1,36.0,<music21.chord.Chord B2 A#5>,"[0, 1]","[10, 11]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,1 1/4,36.5,<music21.chord.Chord A#2 A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,1 1/2,37.0,<music21.chord.Chord F#3 A#5>,"[0, 4]","[6, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,1 3/4,37.5,<music21.chord.Chord E3 A#5>,"[0, 6]","[4, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,2,38.0,<music21.chord.Chord E3 A#5>,"[0, 6]","[4, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,2 1/4,38.5,<music21.chord.Chord A#3 A#5>,[0],[10],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,2 1/2,39.0,<music21.chord.Chord G#3 G#5>,[0],[8],AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,2 3/4,39.5,<music21.chord.Chord D#3 G#5>,"[0, 5]","[3, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,3,40.0,<music21.chord.Chord A#3 G#5>,"[0, 2]","[8, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,3 1/4,40.5,<music21.chord.Chord A#2 G#5>,"[0, 2]","[8, 10]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
7,3 1/2,41.0,<music21.chord.Chord E3 G#5>,"[0, 4]","[4, 8]",AlariodelRio_PianoPieceNo8.xml,AlariodelRio
