offset,Chord,NormalForm,PCsinNormalForm,Measure Number,Measure Beat
0.0,<music21.chord.Chord B3>,[0],[11],1,1
0.5,<music21.chord.Chord B3>,[0],[11],1,2
1.25,<music21.chord.Chord B3>,[0],[11],1,3
1.5,<music21.chord.Chord B3>,[0],[11],1,4
2.25,<music21.chord.Chord B3>,[0],[11],1,5
2.5,<music21.chord.Chord B3>,[0],[11],2,1
3.0,<music21.chord.Chord B3>,[0],[11],2,2
3.75,<music21.chord.Chord B3>,[0],[11],2,3
4.0,<music21.chord.Chord F4 G#4 B3>,"[0, 3, 6]","[5, 8, 11]",2,4
4.666666666666670,<music21.chord.Chord F4 G#4>,"[0, 3]","[5, 8]",2,5
4.75,<music21.chord.Chord F4 G#4 B3>,"[0, 3, 6]","[5, 8, 11]",2,5
5.0,<music21.chord.Chord F#4 A4 B3>,"[0, 3, 5]","[6, 9, 11]",3,1
5.5,<music21.chord.Chord F#4 A4 B3>,"[0, 3, 5]","[6, 9, 11]",3,2
6.25,<music21.chord.Chord E4 C#5 B3>,"[0, 2, 5]","[11, 1, 4]",3,3
6.5,<music21.chord.Chord E-4 B4 B3>,"[0, 4]","[11, 3]",3,4
7.25,<music21.chord.Chord E-4 G4 B3>,"[0, 4, 8]","[3, 7, 11]",3,5
7.5,<music21.chord.Chord E4 G#4 B3>,"[0, 4, 7]","[4, 8, 11]",4,1
8.0,<music21.chord.Chord G#4 B4 B3>,"[0, 3]","[8, 11]",4,2
8.75,<music21.chord.Chord E5 G#5 B3>,"[0, 4, 7]","[4, 8, 11]",4,3
9.0,<music21.chord.Chord E-5 F#5 B3>,"[0, 4, 7]","[11, 3, 6]",4,4
9.75,<music21.chord.Chord C#5 E5 B3>,"[0, 2, 5]","[11, 1, 4]",4,5
10.0,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",5,1
10.125,<music21.chord.Chord E5 B4 B3>,"[0, 5]","[11, 4]",5,1
10.25,<music21.chord.Chord B4 B3>,[0],[11],5,1
10.333333333333300,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",5,1
10.458333333333300,<music21.chord.Chord B4 B3>,[0],[11],5,1
10.5,<music21.chord.Chord C#5 A4 B3>,"[0, 2, 4]","[9, 11, 1]",5,2
11.25,<music21.chord.Chord E-5 B4 B3>,"[0, 4]","[11, 3]",5,3
11.5,<music21.chord.Chord E5 C#5 B3>,"[0, 2, 5]","[11, 1, 4]",5,4
12.25,<music21.chord.Chord C#5 A4 B3>,"[0, 2, 4]","[9, 11, 1]",5,5
12.5,<music21.chord.Chord G#4 B4 B3 E3>,"[0, 4, 7]","[4, 8, 11]",6,1
13.0,<music21.chord.Chord G#4 B4 B3 E3>,"[0, 4, 7]","[4, 8, 11]",6,2
13.666666666666700,<music21.chord.Chord G#4 B4 E3>,"[0, 4, 7]","[4, 8, 11]",6,3
13.75,<music21.chord.Chord G#4 B4 E4 E3>,"[0, 4, 7]","[4, 8, 11]",6,3
13.875,<music21.chord.Chord E4 E3>,[0],[4],6,3
14.0,<music21.chord.Chord E-4 E3>,"[0, 1]","[3, 4]",6,4
14.666666666666700,<music21.chord.Chord E3>,[0],[4],6,5
14.75,<music21.chord.Chord D4>,[0],[2],6,5
15.0,<music21.chord.Chord F5 B4 C#4 G#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",7,1
15.5,<music21.chord.Chord F#5 C#5 A4 C#4>,"[0, 3, 7]","[6, 9, 1]",7,2
16.166666666666700,<music21.chord.Chord C#4>,[0],[1],7,3
16.25,<music21.chord.Chord G#5 D5 B4 C#4>,"[0, 3, 5, 6]","[8, 11, 1, 2]",7,3
16.375,<music21.chord.Chord B5 G#5 D5 C#4 B4>,"[0, 3, 5, 6]","[8, 11, 1, 2]",7,3
16.5,<music21.chord.Chord A5 F5 C#5 C#4>,"[0, 4, 8]","[1, 5, 9]",7,4
17.166666666666700,<music21.chord.Chord F5 C#4>,"[0, 4]","[1, 5]",7,5
17.25,<music21.chord.Chord G#5 F5 B4 C#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",7,5
17.5,<music21.chord.Chord C#5 C#6 G#5 B4 F#4>,"[0, 2, 5, 7]","[6, 8, 11, 1]",8,1
18.0,<music21.chord.Chord F#5 C#5 C#6 A4 F#4>,"[0, 3, 7]","[6, 9, 1]",8,2
18.666666666666700,<music21.chord.Chord C#5 C#6 F#4>,"[0, 5]","[1, 6]",8,3
18.75,<music21.chord.Chord F5 C#5 C#6 G#4 F#4>,"[0, 4, 5, 7]","[1, 5, 6, 8]",8,3
18.875,<music21.chord.Chord F5 G#4 F#4>,"[0, 1, 3]","[5, 6, 8]",8,3
19.0,<music21.chord.Chord F#5 A4 F#4>,"[0, 3]","[6, 9]",8,4
19.666666666666700,<music21.chord.Chord F#4>,[0],[6],8,5
19.75,<music21.chord.Chord C5 A4 E4>,"[0, 3, 7]","[9, 0, 4]",8,5
20.0,<music21.chord.Chord A4 B4 B3 E-4>,"[0, 2, 6]","[9, 11, 3]",9,1
20.5,<music21.chord.Chord F5 A4 D4 B3>,"[0, 2, 5, 8]","[9, 11, 2, 5]",9,2
21.166666666666700,<music21.chord.Chord A4 B3>,"[0, 2]","[9, 11]",9,3
21.25,<music21.chord.Chord F#5 A4 E-4 B3>,"[0, 3, 6, 8]","[3, 6, 9, 11]",9,3
21.375,<music21.chord.Chord F#5 E-4>,"[0, 3]","[3, 6]",9,3
21.5,<music21.chord.Chord A5 E-5 C#5 B3>,"[0, 2, 4, 6]","[9, 11, 1, 3]",9,4
22.166666666666700,<music21.chord.Chord E-5 B3>,"[0, 4]","[11, 3]",9,5
22.25,<music21.chord.Chord G#5 E-5 B4 B3>,"[0, 3, 7]","[8, 11, 3]",9,5
22.5,<music21.chord.Chord F#5 B5 B4 A4 E4>,"[0, 2, 5, 7]","[4, 6, 9, 11]",10,1
23.0,<music21.chord.Chord E5 B5 B4 G#4 E4>,"[0, 4, 7]","[4, 8, 11]",10,2
23.666666666666700,<music21.chord.Chord B5 B4 E4>,"[0, 5]","[11, 4]",10,3
23.75,<music21.chord.Chord E-5 B5 B4 G4 E4>,"[0, 1, 4, 8]","[3, 4, 7, 11]",10,3
