offset,Chord,NormalForm,PCsinNormalForm,Measure Number,Measure Count
0.0,<music21.chord.Chord G-1>,[0],[7],,
5.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,
6.0,<music21.chord.Chord E-4 G-1>,"[0, 4]","[3, 7]",,
7.0,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,
8.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,
9.5,<music21.chord.Chord C#4 G-1>,"[0, 6]","[1, 7]",,
10.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,
11.0,<music21.chord.Chord G-1>,[0],[7],,
13.0,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,
14.0,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,
15.0,<music21.chord.Chord A4 G-1>,"[0, 2]","[7, 9]",,
16.0,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,
17.5,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,
18.0,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,
19.0,<music21.chord.Chord G-1>,[0],[7],,
23.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,
23.75,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,
24.0,<music21.chord.Chord A4 G-1>,"[0, 2]","[7, 9]",,
24.5,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,
25.0,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,
25.5,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,
26.0,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,
26.5,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,
27.0,<music21.chord.Chord E-4 G-1>,"[0, 4]","[3, 7]",,
27.5,<music21.chord.Chord C#4 G-1>,"[0, 6]","[1, 7]",,
28.0,<music21.chord.Chord B3 G-1>,"[0, 4]","[7, 11]",,
29.0,<music21.chord.Chord E3 G-1>,"[0, 3]","[4, 7]",,
30.0,<music21.chord.Chord F#3 G-1>,"[0, 1]","[6, 7]",,
31.0,<music21.chord.Chord F#3 F#2 G-1>,"[0, 1]","[6, 7]",,
32.0,<music21.chord.Chord F#3 B2 G-1>,"[0, 1, 5]","[6, 7, 11]",,
35.0,<music21.chord.Chord G-1>,[0],[7],,
37.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,
38.0,<music21.chord.Chord E-4 G-1>,"[0, 4]","[3, 7]",,
39.0,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",,
40.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,
41.5,<music21.chord.Chord C#4 G-1>,"[0, 6]","[1, 7]",,
42.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,
43.0,<music21.chord.Chord G-1>,[0],[7],,
43.75,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,
44.0,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,
45.0,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,
46.0,<music21.chord.Chord B4 F#4 G-1>,"[0, 1, 5]","[6, 7, 11]",,
47.0,<music21.chord.Chord B4 A4 G-1>,"[0, 2, 4]","[7, 9, 11]",,
48.0,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,
49.5,<music21.chord.Chord B4 E4 G-1>,"[0, 3, 7]","[4, 7, 11]",,
50.0,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,
51.0,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,
51.75,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,
52.0,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,
53.0,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,
54.0,<music21.chord.Chord E5 G-1>,"[0, 3]","[4, 7]",,
55.0,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,
55.75,<music21.chord.Chord E5 F#4 G-1>,"[0, 2, 3]","[4, 6, 7]",,
56.0,<music21.chord.Chord E5 A4 G-1>,"[0, 3, 5]","[4, 7, 9]",,
56.5,<music21.chord.Chord E5 G#4 G-1>,"[0, 3, 4]","[4, 7, 8]",,
57.0,<music21.chord.Chord E5 F#4 G-1>,"[0, 2, 3]","[4, 6, 7]",,
57.5,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,
58.0,<music21.chord.Chord E5 F#4 G-1>,"[0, 2, 3]","[4, 6, 7]",,
58.5,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,
59.0,<music21.chord.Chord E5 E-4 G-1>,"[0, 1, 4]","[3, 4, 7]",,
59.5,<music21.chord.Chord E5 C#4 G-1>,"[0, 3, 6]","[1, 4, 7]",,
59.75,<music21.chord.Chord F#5 C#4 G-1>,"[0, 5, 6]","[1, 6, 7]",,
