measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
1,1,0.0,<music21.chord.Chord G2 B-4>,"[0, 3]","[7, 10]",Allard_5diversions.xml,Allard
1,1 1/4,0.5,<music21.chord.Chord G2 D3 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
1,1 1/2,1.0,<music21.chord.Chord G2 G3 D4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
1,1 3/4,1.5,<music21.chord.Chord G2 G3 G4 B-4>,"[0, 3]","[7, 10]",Allard_5diversions.xml,Allard
1,2,2.0,<music21.chord.Chord G2 D3 G4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
1,2 1/4,2.5,<music21.chord.Chord G2 G3 D4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
1,2 1/2,3.0,<music21.chord.Chord G2 D3 G4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
1,2 3/4,3.5,<music21.chord.Chord G2 D4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
2,1,4.0,<music21.chord.Chord E2 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard
2,1 1/4,4.5,<music21.chord.Chord E2 B2 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard
2,1 1/2,5.0,<music21.chord.Chord E2 E3 E4 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard
2,1 3/4,5.5,<music21.chord.Chord E2 E3 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Allard_5diversions.xml,Allard
2,2,6.0,<music21.chord.Chord E2 B2 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Allard_5diversions.xml,Allard
2,2 1/4,6.5,<music21.chord.Chord E2 E3 E4 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard
2,2 1/2,7.0,<music21.chord.Chord E2 B2 G4 B4>,"[0, 3, 7]","[4, 7, 11]",Allard_5diversions.xml,Allard
2,2 3/4,7.5,<music21.chord.Chord E2 E4 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard
3,1,8.0,<music21.chord.Chord A2 C5>,"[0, 3]","[9, 0]",Allard_5diversions.xml,Allard
3,1 1/4,8.5,<music21.chord.Chord A2 E3 C5>,"[0, 3, 7]","[9, 0, 4]",Allard_5diversions.xml,Allard
3,1 1/2,9.0,<music21.chord.Chord A2 A3 E4 C5>,"[0, 3, 7]","[9, 0, 4]",Allard_5diversions.xml,Allard
3,1 3/4,9.5,<music21.chord.Chord A2 A3 A4 C5>,"[0, 3]","[9, 0]",Allard_5diversions.xml,Allard
3,2,10.0,<music21.chord.Chord A2 E3 A4 C5>,"[0, 3, 7]","[9, 0, 4]",Allard_5diversions.xml,Allard
3,2 1/4,10.5,<music21.chord.Chord A2 A3 E4 C5>,"[0, 3, 7]","[9, 0, 4]",Allard_5diversions.xml,Allard
3,2 1/2,11.0,<music21.chord.Chord A2 E3 A4 C5>,"[0, 3, 7]","[9, 0, 4]",Allard_5diversions.xml,Allard
3,2 3/4,11.5,<music21.chord.Chord A2 E4 C5>,"[0, 3, 7]","[9, 0, 4]",Allard_5diversions.xml,Allard
4,1,12.0,<music21.chord.Chord D2 D5>,[0],[2],Allard_5diversions.xml,Allard
4,1 1/4,12.5,<music21.chord.Chord D2 A2 G4 D5>,"[0, 2, 7]","[7, 9, 2]",Allard_5diversions.xml,Allard
4,1 1/3,12.666666666666666,<music21.chord.Chord D2 A2 A4 D5>,"[0, 5]","[9, 2]",Allard_5diversions.xml,Allard
4,1 5/12,12.833333333333334,<music21.chord.Chord D2 A2 G4 D5>,"[0, 2, 7]","[7, 9, 2]",Allard_5diversions.xml,Allard
4,1 1/2,13.0,<music21.chord.Chord D2 D3 E4 D5>,"[0, 2]","[2, 4]",Allard_5diversions.xml,Allard
4,1 3/4,13.5,<music21.chord.Chord D2 A2 G4 D5>,"[0, 2, 7]","[7, 9, 2]",Allard_5diversions.xml,Allard
4,2,14.0,<music21.chord.Chord D2 D3 F#4 D5>,"[0, 4]","[2, 6]",Allard_5diversions.xml,Allard
4,2 1/4,14.5,<music21.chord.Chord D2 A2 F#4 D5>,"[0, 4, 7]","[2, 6, 9]",Allard_5diversions.xml,Allard
4,2 1/2,15.0,<music21.chord.Chord D2 D3 A4 D5>,"[0, 5]","[9, 2]",Allard_5diversions.xml,Allard
4,2 3/4,15.5,<music21.chord.Chord D2 F#2 A4 D5>,"[0, 4, 7]","[2, 6, 9]",Allard_5diversions.xml,Allard
5,1,16.0,<music21.chord.Chord G2 B-4>,"[0, 3]","[7, 10]",Allard_5diversions.xml,Allard
5,1 1/4,16.5,<music21.chord.Chord G2 D3 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
5,1 1/2,17.0,<music21.chord.Chord G2 G3 D4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
5,1 3/4,17.5,<music21.chord.Chord G2 G3 G4 B-4>,"[0, 3]","[7, 10]",Allard_5diversions.xml,Allard
5,2,18.0,<music21.chord.Chord G2 D3 G4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
5,2 1/4,18.5,<music21.chord.Chord G2 G3 D4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
5,2 1/2,19.0,<music21.chord.Chord G2 D3 G4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
5,2 3/4,19.5,<music21.chord.Chord G2 D4 B-4>,"[0, 3, 7]","[7, 10, 2]",Allard_5diversions.xml,Allard
6,1,20.0,<music21.chord.Chord E2 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard
6,1 1/4,20.5,<music21.chord.Chord E2 B2 B4>,"[0, 5]","[11, 4]",Allard_5diversions.xml,Allard
