offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
0.0,<music21.chord.Chord F#5 F#6>,[0],[6],Pianoflage in C major.mid,,0,2
0.25,<music21.chord.Chord G5 G6>,[0],[7],Pianoflage in C major.mid,,0,2
1.0,<music21.chord.Chord G#5 G#6>,[0],[8],Pianoflage in C major.mid,,1,1
1.25,<music21.chord.Chord A5 C6 E6 A6 E4 G4 C5>,"[0, 3, 5, 8]","[4, 7, 9, 0]",Pianoflage in C major.mid,,1,1
1.75,<music21.chord.Chord A5 C6 E6 A6 E4 G4 C5>,"[0, 3, 5, 8]","[4, 7, 9, 0]",Pianoflage in C major.mid,,1,1
2.75,<music21.chord.Chord A5 C6 E6 A6 E4 G4 C5>,"[0, 3, 5, 8]","[4, 7, 9, 0]",Pianoflage in C major.mid,,1,2
3.75,<music21.chord.Chord E4 G4 C5>,"[0, 4, 7]","[0, 4, 7]",Pianoflage in C major.mid,,2,1
4.0,<music21.chord.Chord B6 B5 E4 G4 C5>,"[0, 1, 5, 8]","[11, 0, 4, 7]",Pianoflage in C major.mid,,2,2
4.083333333333330,<music21.chord.Chord B6 B5>,[0],[11],Pianoflage in C major.mid,,2,2
4.25,<music21.chord.Chord A5 A6 E-4 F#4 C5>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Pianoflage in C major.mid,,2,2
5.25,<music21.chord.Chord G5 G6 D4 F4 B4>,"[0, 3, 6, 8]","[11, 2, 5, 7]",Pianoflage in C major.mid,,3,1
5.625,<music21.chord.Chord D4 F4 B4>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,3,1
5.75,<music21.chord.Chord C#6 B-5 D4 F4 B4>,"[0, 1, 3, 4, 7]","[10, 11, 1, 2, 5]",Pianoflage in C major.mid,,3,1
6.125,<music21.chord.Chord D4 F4 B4>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,3,2
6.25,<music21.chord.Chord D6 B5 D4 F4 B4>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,3,2
6.625,<music21.chord.Chord D4 F4 B4>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,3,2
6.75,<music21.chord.Chord G6 G5 D4 F4 B4>,"[0, 3, 6, 8]","[11, 2, 5, 7]",Pianoflage in C major.mid,,3,2
7.125,<music21.chord.Chord D4 F4 B4>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,4,1
7.25,<music21.chord.Chord C#6 B-5 D4 F4 B4>,"[0, 1, 3, 4, 7]","[10, 11, 1, 2, 5]",Pianoflage in C major.mid,,4,1
7.625,<music21.chord.Chord D4 F4 B4>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,4,1
7.75,<music21.chord.Chord B5 D6 D4 F4 B4>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,4,1
8.125,<music21.chord.Chord D4 F4 B4>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,4,2
8.25,<music21.chord.Chord G6 G5 D4 F4 B4>,"[0, 3, 6, 8]","[11, 2, 5, 7]",Pianoflage in C major.mid,,4,2
8.5,<music21.chord.Chord G6 G5>,[0],[7],Pianoflage in C major.mid,,4,2
9.25,<music21.chord.Chord A4 C5 E5 A5 E3 G3 C4>,"[0, 3, 5, 8]","[4, 7, 9, 0]",Pianoflage in C major.mid,,5,1
9.75,<music21.chord.Chord A4 C5 E5 A5 E3 G3 C4>,"[0, 3, 5, 8]","[4, 7, 9, 0]",Pianoflage in C major.mid,,5,1
10.75,<music21.chord.Chord A4 C5 E5 A5 E3 G3 C4>,"[0, 3, 5, 8]","[4, 7, 9, 0]",Pianoflage in C major.mid,,5,2
11.75,<music21.chord.Chord E3 G3 C4>,"[0, 4, 7]","[0, 4, 7]",Pianoflage in C major.mid,,6,1
12.0,<music21.chord.Chord B5 B4 E3 G3 C4>,"[0, 1, 5, 8]","[11, 0, 4, 7]",Pianoflage in C major.mid,,6,2
12.083333333333300,<music21.chord.Chord B5 B4>,[0],[11],Pianoflage in C major.mid,,6,2
12.25,<music21.chord.Chord A4 A5 E-3 F#3 C4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Pianoflage in C major.mid,,6,2
13.25,<music21.chord.Chord G4 G5 D3 F3 B3>,"[0, 3, 6, 8]","[11, 2, 5, 7]",Pianoflage in C major.mid,,7,1
13.625,<music21.chord.Chord D3 F3 B3>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,7,1
13.75,<music21.chord.Chord F#5 F#4 D3 F3 B3>,"[0, 3, 6, 7]","[11, 2, 5, 6]",Pianoflage in C major.mid,,7,1
14.125,<music21.chord.Chord D3 F3 B3>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,7,2
14.25,<music21.chord.Chord G5 G4 D3 F3 B3>,"[0, 3, 6, 8]","[11, 2, 5, 7]",Pianoflage in C major.mid,,7,2
14.625,<music21.chord.Chord D3 F3 B3>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,7,2
14.75,<music21.chord.Chord A5 A4 D3 F3 B3>,"[0, 2, 5, 8]","[9, 11, 2, 5]",Pianoflage in C major.mid,,7,2
15.125,<music21.chord.Chord D3 F3 B3>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,8,1
15.25,<music21.chord.Chord B-5 B-4 D3 F3 B3>,"[0, 1, 4, 7]","[10, 11, 2, 5]",Pianoflage in C major.mid,,8,1
15.625,<music21.chord.Chord D3 F3 B3>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,8,1
15.75,<music21.chord.Chord B4 B5 D3 F3 B3>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,8,1
16.125,<music21.chord.Chord D3 F3 B3>,"[0, 3, 6]","[11, 2, 5]",Pianoflage in C major.mid,,8,2
16.25,<music21.chord.Chord C6 C5 D3 F3 B3>,"[0, 1, 3, 6]","[11, 0, 2, 5]",Pianoflage in C major.mid,,8,2
16.5,<music21.chord.Chord C6 C5>,[0],[0],Pianoflage in C major.mid,,8,2
16.75,<music21.chord.Chord C#6 C#5>,[0],[1],Pianoflage in C major.mid,,8,2
17.25,<music21.chord.Chord D5 B5 D6 D3>,"[0, 3]","[11, 2]",Pianoflage in C major.mid,,9,1
17.625,<music21.chord.Chord D3>,[0],[2],Pianoflage in C major.mid,,9,1
18.0,<music21.chord.Chord B4>,[0],[11],Pianoflage in C major.mid,,9,2
18.25,<music21.chord.Chord G5 B5 F3 G3 B3>,"[0, 2, 6]","[5, 7, 11]",Pianoflage in C major.mid,,9,2
18.625,<music21.chord.Chord F3 G3 B3>,"[0, 2, 6]","[5, 7, 11]",Pianoflage in C major.mid,,9,2
19.0,<music21.chord.Chord F#5>,[0],[6],Pianoflage in C major.mid,,10,1
19.25,<music21.chord.Chord G5 B5 G2>,"[0, 4]","[7, 11]",Pianoflage in C major.mid,,10,1
19.625,<music21.chord.Chord G2>,[0],[7],Pianoflage in C major.mid,,10,1
20.0,<music21.chord.Chord A4>,[0],[9],Pianoflage in C major.mid,,10,2
20.25,<music21.chord.Chord F5 A5 F3 G3 B3>,"[0, 2, 4, 6]","[5, 7, 9, 11]",Pianoflage in C major.mid,,10,2
20.625,<music21.chord.Chord F3 G3 B3>,"[0, 2, 6]","[5, 7, 11]",Pianoflage in C major.mid,,10,2
21.0,<music21.chord.Chord E5>,[0],[4],Pianoflage in C major.mid,,11,1
21.25,<music21.chord.Chord F5 A5 D3>,"[0, 3, 7]","[2, 5, 9]",Pianoflage in C major.mid,,11,1
21.625,<music21.chord.Chord D3>,[0],[2],Pianoflage in C major.mid,,11,1
22.0,<music21.chord.Chord G4>,[0],[7],Pianoflage in C major.mid,,11,2
22.25,<music21.chord.Chord D5 G5 F3 G3 B3>,"[0, 3, 6, 8]","[11, 2, 5, 7]",Pianoflage in C major.mid,,11,2
22.625,<music21.chord.Chord F3 G3 B3>,"[0, 2, 6]","[5, 7, 11]",Pianoflage in C major.mid,,11,2
23.0,<music21.chord.Chord F#5>,[0],[6],Pianoflage in C major.mid,,12,1
23.25,<music21.chord.Chord D5 G5 G2>,"[0, 5]","[2, 7]",Pianoflage in C major.mid,,12,1
