offset,Chord,NormalForm,PCsinNormalForm,file,Composer,Measure Number,Measure Count
0.0,<music21.chord.Chord D4 D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,1.0
0.125,<music21.chord.Chord D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,1.125
0.5,<music21.chord.Chord E4>,[0],[4],Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,1.5
1.0,<music21.chord.Chord F4 F3 A3>,"[0, 4]","[5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,2.0
1.125,<music21.chord.Chord F3 A3>,"[0, 4]","[5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,2.125
1.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,1,2.5
2.0,<music21.chord.Chord A4 D2>,"[0, 5]","[9, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,1.0
2.125,<music21.chord.Chord D2>,[0],[2],Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,1.125
2.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,1.5
3.0,<music21.chord.Chord D4 G3 B3>,"[0, 4, 7]","[7, 11, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,2.0
3.125,<music21.chord.Chord G3 B3>,"[0, 4]","[7, 11]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,2.125
3.5,<music21.chord.Chord G4>,[0],[7],Romanian Folk Dances 2 Braul D minor.mid,Bartok,2,2.5
4.0,<music21.chord.Chord A4 D2>,"[0, 5]","[9, 2]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,3,1.0
5.0,<music21.chord.Chord A4 A3 D4 F4>,"[0, 3, 7]","[2, 5, 9]",Romanian Folk Dances 2 Braul D minor.mid,Bartok,3,2.0
