offset,Chord,NormalForm,PCsInNormalForm,file,Composer,measureNumber,beatNumber
1.0,<music21.chord.Chord F#1 D#2>,"[0, 3]","[3, 6]",Beatty_Musing_for_Piano.xml,Beatty,1,2
2.0,<music21.chord.Chord G#3 C#4 E4 G4 D-5 F5>,"[0, 3, 4, 6, 7]","[1, 4, 5, 7, 8]",Beatty_Musing_for_Piano.xml,Beatty,1,3
4.0,<music21.chord.Chord G#3 C#4 E4 G4 D-5 F5>,"[0, 3, 4, 6, 7]","[1, 4, 5, 7, 8]",Beatty_Musing_for_Piano.xml,Beatty,2,1
5.5,<music21.chord.Chord C#2 C#3 G4 D-5 F5>,"[0, 4, 6]","[1, 5, 7]",Beatty_Musing_for_Piano.xml,Beatty,2,2 1/2
6.0,<music21.chord.Chord C#2 C#3>,[0],[1],Beatty_Musing_for_Piano.xml,Beatty,2,3
7.0,<music21.chord.Chord C#4 F#4 A4 D5 G#5 D6>,"[0, 1, 5, 7, 8]","[1, 2, 6, 8, 9]",Beatty_Musing_for_Piano.xml,Beatty,2,4
8.0,<music21.chord.Chord C#4 F#4 A4 D5 G#5 D6>,"[0, 1, 5, 7, 8]","[1, 2, 6, 8, 9]",Beatty_Musing_for_Piano.xml,Beatty,3,1
9.0,<music21.chord.Chord C#4 F#4 A4 D5 G#5 D6>,"[0, 1, 5, 7, 8]","[1, 2, 6, 8, 9]",Beatty_Musing_for_Piano.xml,Beatty,3,2
9.75,<music21.chord.Chord G-2 F3 D5 G#5 D6>,"[0, 3, 4, 6]","[2, 5, 6, 8]",Beatty_Musing_for_Piano.xml,Beatty,3,2 3/4
10.0,<music21.chord.Chord G-2 F3>,"[0, 1]","[5, 6]",Beatty_Musing_for_Piano.xml,Beatty,3,3
11.0,<music21.chord.Chord G-2 F3>,"[0, 1]","[5, 6]",Beatty_Musing_for_Piano.xml,Beatty,3,4
11.25,<music21.chord.Chord C#4 G#4 B4 F5 B-5 E6>,"[0, 1, 4, 6, 7, 9]","[4, 5, 8, 10, 11, 1]",Beatty_Musing_for_Piano.xml,Beatty,3,4 1/4
12.0,<music21.chord.Chord C#4 G#4 B4 F5 B-5 E6>,"[0, 1, 4, 6, 7, 9]","[4, 5, 8, 10, 11, 1]",Beatty_Musing_for_Piano.xml,Beatty,4,1
14.0,<music21.chord.Chord D-3 C4>,"[0, 1]","[0, 1]",Beatty_Musing_for_Piano.xml,Beatty,4,3
16.0,<music21.chord.Chord D-3 C4>,"[0, 1]","[0, 1]",Beatty_Musing_for_Piano.xml,Beatty,5,1
16.5,<music21.chord.Chord E-4 B-4 D5 G5 C#6 G6>,"[0, 3, 6, 7, 8]","[7, 10, 1, 2, 3]",Beatty_Musing_for_Piano.xml,Beatty,5,1 1/2
17.5,<music21.chord.Chord E-4 B-4 D5 G5 C#6 G6>,"[0, 3, 6, 7, 8]","[7, 10, 1, 2, 3]",Beatty_Musing_for_Piano.xml,Beatty,5,2 1/2
17.75,<music21.chord.Chord F#2 G5 C#6 G6>,"[0, 5, 6]","[1, 6, 7]",Beatty_Musing_for_Piano.xml,Beatty,5,2 3/4
