offset,Chord,NormalForm,PCsInNormalForm,file,Composer,Measure Number,Measure Count
0,<music21.chord.Chord D4>,[0],[2],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,1,1
0.5,<music21.chord.Chord F#4>,[0],[6],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,1,1.5
1,<music21.chord.Chord F#4>,[0],[6],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,1,2
1.5,<music21.chord.Chord A4>,[0],[9],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,1,2.5
2,<music21.chord.Chord A4>,[0],[9],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,1,3
2.5,<music21.chord.Chord D5>,[0],[2],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,1,3.5
3,<music21.chord.Chord D5>,[0],[2],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,1,4
3.5,<music21.chord.Chord F#5>,[0],[6],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,1,4.5
4,<music21.chord.Chord F#5 A3 G4>,"[0, 1, 3]","[6, 7, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,2,1
4.5,<music21.chord.Chord E5 A3 G4>,"[0, 3, 5]","[4, 7, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,2,1.5
5,<music21.chord.Chord C#5 A3 G4>,"[0, 2, 6]","[7, 9, 1]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,2,2
5.5,<music21.chord.Chord A4 A3 G4>,"[0, 2]","[7, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,2,2.5
5.875,<music21.chord.Chord A4>,[0],[9],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,2,2.875
6,<music21.chord.Chord A5 G4>,"[0, 2]","[7, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,2,3
6.5,<music21.chord.Chord A5 E4>,"[0, 5]","[4, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,2,3.5
7,<music21.chord.Chord A5 C#4>,"[0, 4]","[9, 1]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,2,4
7.5,<music21.chord.Chord A5 A3>,[0],[9],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,2,4.5
7.875,<music21.chord.Chord A3>,[0],[9],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,2,4.875
8,<music21.chord.Chord A5 D4 F#4>,"[0, 4, 7]","[2, 6, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,3,1
8.5,<music21.chord.Chord F#6 D4 F#4>,"[0, 4]","[2, 6]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,3,1.5
8.875,<music21.chord.Chord D4 F#4>,"[0, 4]","[2, 6]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,3,1.875
9,<music21.chord.Chord F#6>,[0],[6],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,3,2
9.5,<music21.chord.Chord D6>,[0],[2],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,3,2.5
10,<music21.chord.Chord D6>,[0],[2],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,3,3
10.5,<music21.chord.Chord A5>,[0],[9],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,3,3.5
11,<music21.chord.Chord A5>,[0],[9],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,3,4
11.5,<music21.chord.Chord F#5>,[0],[6],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,3,4.5
12,<music21.chord.Chord F#5 A3 G4>,"[0, 1, 3]","[6, 7, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,4,1
12.5,<music21.chord.Chord E5 A3 G4>,"[0, 3, 5]","[4, 7, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,4,1.5
13,<music21.chord.Chord C#5 A3 G4>,"[0, 2, 6]","[7, 9, 1]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,4,2
13.5,<music21.chord.Chord A4 A3 G4>,"[0, 2]","[7, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,4,2.5
13.875,<music21.chord.Chord A4>,[0],[9],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,4,2.875
14,<music21.chord.Chord A5 G4>,"[0, 2]","[7, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,4,3
14.5,<music21.chord.Chord A5 E4>,"[0, 5]","[4, 9]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,4,3.5
15,<music21.chord.Chord A5 C#4>,"[0, 4]","[9, 1]",Etudes Tendre Fleur Op100No10 D major ,Burgmuller,4,4
15.5,<music21.chord.Chord A5 A3>,[0],[9],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,4,4.5
15.875,<music21.chord.Chord A3>,[0],[9],Etudes Tendre Fleur Op100No10 D major ,Burgmuller,4,4.875
