offset,Chord,NormalForm,PCsInNormalForm,file,Composer,measureNumber,beatNumber
0.0,<music21.chord.Chord D3 F3 A3 D4 A4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,1,1
0.5,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,1,1 1/2
1.0,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,1,2
1.5,<music21.chord.Chord D3 F3 A3 D4 A5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,1,2 1/2
2.0,<music21.chord.Chord D3 G3 B-3 E-4 G5>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,1,3
2.5,<music21.chord.Chord D3 G3 B-3 E-4 E-5>,"[0, 1, 5, 8]","[2, 3, 7, 10]",Carbajo_Yellow_Saraband.xml,Carbajo,1,3 1/2
3.0,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,2,1
4.0,<music21.chord.Chord D1 D5>,[0],[2],Carbajo_Yellow_Saraband.xml,Carbajo,2,2
4.5,<music21.chord.Chord D1>,[0],[2],Carbajo_Yellow_Saraband.xml,Carbajo,2,2 1/2
5.0,<music21.chord.Chord D3 F3 A3 D4 A4>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,3,1
5.5,<music21.chord.Chord D3 F3 A3 D4 D5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,3,1 1/2
6.0,<music21.chord.Chord D3 F3 A3 D4 F5>,"[0, 3, 7]","[2, 5, 9]",Carbajo_Yellow_Saraband.xml,Carbajo,3,2
