offset,Chord,NormalForm,PCsInNormalForm,file,Composer,measureNumber,beatNumber
0.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,1,1
0.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,1,1 1/2
1.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,1,2 1/2
1.75,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, 8]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,1,2 3/4
2.0,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, 8]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,1,3
3.0,<music21.chord.Chord C-2 D-3 B-3 E-4 G4>,"[0, 3, 4, 6, 8]","[7, 10, 11, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,1,4
4.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,2,1
4.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,2,1 1/2
5.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,2,2 1/2
5.75,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, 8]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,2,2 3/4
6.0,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, 8]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,2,3
7.0,<music21.chord.Chord G-1 G-2 D-3 B-3 F4 A-4 D-5 F5>,"[0, 1, 3, 5, 8]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,2,4
8.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,3,1
8.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,3,1 1/2
9.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,3,2 1/2
9.75,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, 8]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,3,2 3/4
10.0,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, 8]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,3,3
11.0,<music21.chord.Chord C-2 D-3 B-3 E-4 G4>,"[0, 3, 4, 6, 8]","[7, 10, 11, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,3,4
12.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,4,1
12.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,4,1 1/2
13.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,4,2 1/2
13.75,<music21.chord.Chord G-2 D-3 A-3 B-3 F4 C5>,"[0, 1, 3, 5, 7, 8]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,Copland,4,2 3/4
14.0,<music21.chord.Chord G-2 D-3 A-3 B-3 F4 C5>,"[0, 1, 3, 5, 7, 8]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,Copland,4,3
15.0,<music21.chord.Chord G-1 G-2 D-3 A-3 B-3 F4 C5 F5 A-5>,"[0, 1, 3, 5, 7, 8]","[5, 6, 8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,Copland,4,4
16.0,<music21.chord.Chord F3 E-4 C5>,"[0, 3, 5]","[0, 3, 5]",Copland_Piano_Blues_No_3.mxl,Copland,5,1
16.5,<music21.chord.Chord A-3 F4 A-4>,"[0, 3]","[5, 8]",Copland_Piano_Blues_No_3.mxl,Copland,5,2
17.5,<music21.chord.Chord B-3 D-4 C5>,"[0, 2, 3]","[10, 0, 1]",Copland_Piano_Blues_No_3.mxl,Copland,5,4
18.5,<music21.chord.Chord D-3 F4 B-4>,"[0, 3, 7]","[10, 1, 5]",Copland_Piano_Blues_No_3.mxl,Copland,5,6
19.5,<music21.chord.Chord E-3 D-4 A-4>,"[0, 2, 7]","[1, 3, 8]",Copland_Piano_Blues_No_3.mxl,Copland,6,1
20.0,<music21.chord.Chord F3 E-4 C5>,"[0, 3, 5]","[0, 3, 5]",Copland_Piano_Blues_No_3.mxl,Copland,6,2
21.0,<music21.chord.Chord A-3 F4 B-4>,"[0, 3, 5]","[5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,6,4
22.0,<music21.chord.Chord B-2 A-3 F4 B-4 D-5 F5>,"[0, 3, 5, 8]","[5, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,6,6
23.0,<music21.chord.Chord F2 A-3 E-4 C5>,"[0, 3, 5, 8]","[0, 3, 5, 8]",Copland_Piano_Blues_No_3.mxl,Copland,7,1
23.5,<music21.chord.Chord A-2 B-3 F4 A-4>,"[0, 3, 5]","[5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,7,2
24.5,<music21.chord.Chord B-2 A-3 D-4 C5>,"[0, 2, 4, 5]","[8, 10, 0, 1]",Copland_Piano_Blues_No_3.mxl,Copland,7,4
25.5,<music21.chord.Chord D-3 B-3 F4 B-4 E-5>,"[0, 3, 5, 7]","[10, 1, 3, 5]",Copland_Piano_Blues_No_3.mxl,Copland,7,6
26.5,<music21.chord.Chord E-3 B-3 D-4 A-4>,"[0, 2, 5, 7]","[8, 10, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,8,1
27.0,<music21.chord.Chord F3 A-3 E-4 C5>,"[0, 3, 5, 8]","[0, 3, 5, 8]",Copland_Piano_Blues_No_3.mxl,Copland,8,2
28.0,<music21.chord.Chord A-3 D-4 B-4 E-5>,"[0, 2, 5, 7]","[8, 10, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,8,4
29.0,<music21.chord.Chord B-2 A-3 D-4 B-4 E-5 F5 A-5>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,8,6
30.0,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,9,1
30.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,9,1 1/2
31.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,9,2 1/2
31.75,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, 8]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,9,2 3/4
32.0,<music21.chord.Chord G-2 D-3 B-3 F4 A-4>,"[0, 1, 3, 5, 8]","[5, 6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,9,3
33.0,<music21.chord.Chord C-2 D-3 B-3 E-4 G4>,"[0, 3, 4, 6, 8]","[7, 10, 11, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,9,4
