offset,Chord,NormalForm,PCsInNormalForm,File,Composer,Measure Number,Measure Beat Number
0,<music21.chord.Chord C4>,[0],[0],Etudes Op299No9 C major ,Czerny,1,1
0.25,<music21.chord.Chord D4>,[0],[2],Etudes Op299No9 C major ,Czerny,1,1.25
0.5,<music21.chord.Chord E4>,[0],[4],Etudes Op299No9 C major ,Czerny,1,1.5
0.75,<music21.chord.Chord F4>,[0],[5],Etudes Op299No9 C major ,Czerny,1,1.75
1,<music21.chord.Chord G4>,[0],[7],Etudes Op299No9 C major ,Czerny,1,2
1.25,<music21.chord.Chord F4>,[0],[5],Etudes Op299No9 C major ,Czerny,1,2.25
1.5,<music21.chord.Chord E4>,[0],[4],Etudes Op299No9 C major ,Czerny,1,2.5
1.75,<music21.chord.Chord D4>,[0],[2],Etudes Op299No9 C major ,Czerny,1,2.75
2,<music21.chord.Chord C4>,[0],[0],Etudes Op299No9 C major ,Czerny,1,3
2.25,<music21.chord.Chord D4>,[0],[2],Etudes Op299No9 C major ,Czerny,1,3.25
2.5,<music21.chord.Chord E4>,[0],[4],Etudes Op299No9 C major ,Czerny,1,3.5
2.75,<music21.chord.Chord F4>,[0],[5],Etudes Op299No9 C major ,Czerny,1,3.75
3,<music21.chord.Chord G4>,[0],[7],Etudes Op299No9 C major ,Czerny,1,4
3.25,<music21.chord.Chord F4>,[0],[5],Etudes Op299No9 C major ,Czerny,1,4.25
3.5,<music21.chord.Chord E4>,[0],[4],Etudes Op299No9 C major ,Czerny,1,4.5
3.75,<music21.chord.Chord D4>,[0],[2],Etudes Op299No9 C major ,Czerny,1,4.75
4,<music21.chord.Chord C4 E3 G3>,"[0, 4, 7]","[0, 4, 7]",Etudes Op299No9 C major ,Czerny,2,1
4.25,<music21.chord.Chord D4>,[0],[2],Etudes Op299No9 C major ,Czerny,2,1.25
4.5,<music21.chord.Chord E4>,[0],[4],Etudes Op299No9 C major ,Czerny,2,1.5
4.75,<music21.chord.Chord F4>,[0],[5],Etudes Op299No9 C major ,Czerny,2,1.75
5,<music21.chord.Chord G4>,[0],[7],Etudes Op299No9 C major ,Czerny,2,2
5.25,<music21.chord.Chord F4>,[0],[5],Etudes Op299No9 C major ,Czerny,2,2.25
5.5,<music21.chord.Chord E4>,[0],[4],Etudes Op299No9 C major ,Czerny,2,2.5
5.75,<music21.chord.Chord D4>,[0],[2],Etudes Op299No9 C major ,Czerny,2,2.75
6,<music21.chord.Chord C4>,[0],[0],Etudes Op299No9 C major ,Czerny,2,3
6.25,<music21.chord.Chord D4>,[0],[2],Etudes Op299No9 C major ,Czerny,2,3.25
6.5,<music21.chord.Chord E4>,[0],[4],Etudes Op299No9 C major ,Czerny,2,3.5
6.75,<music21.chord.Chord F4>,[0],[5],Etudes Op299No9 C major ,Czerny,2,3.75
7,<music21.chord.Chord G4 E3 G3>,"[0, 3]","[4, 7]",Etudes Op299No9 C major ,Czerny,2,4
7.25,<music21.chord.Chord A4>,[0],[9],Etudes Op299No9 C major ,Czerny,2,4.25
7.5,<music21.chord.Chord B4>,[0],[11],Etudes Op299No9 C major ,Czerny,2,4.5
7.75,<music21.chord.Chord C5>,[0],[0],Etudes Op299No9 C major ,Czerny,2,4.75
8,<music21.chord.Chord D4 F3 A3>,"[0, 3, 7]","[2, 5, 9]",Etudes Op299No9 C major ,Czerny,3,1
8.25,<music21.chord.Chord E4>,[0],[4],Etudes Op299No9 C major ,Czerny,3,1.25
8.5,<music21.chord.Chord F4>,[0],[5],Etudes Op299No9 C major ,Czerny,3,1.5
8.75,<music21.chord.Chord G4>,[0],[7],Etudes Op299No9 C major ,Czerny,3,1.75
9,<music21.chord.Chord A4>,[0],[9],Etudes Op299No9 C major ,Czerny,3,2
9.25,<music21.chord.Chord G4>,[0],[7],Etudes Op299No9 C major ,Czerny,3,2.25
9.5,<music21.chord.Chord F4>,[0],[5],Etudes Op299No9 C major ,Czerny,3,2.5
9.75,<music21.chord.Chord E4>,[0],[4],Etudes Op299No9 C major ,Czerny,3,2.75
10,<music21.chord.Chord D4>,[0],[2],Etudes Op299No9 C major ,Czerny,3,3
10.25,<music21.chord.Chord E4>,[0],[4],Etudes Op299No9 C major ,Czerny,3,3.25
10.5,<music21.chord.Chord F4>,[0],[5],Etudes Op299No9 C major ,Czerny,3,3.5
10.75,<music21.chord.Chord G4>,[0],[7],Etudes Op299No9 C major ,Czerny,3,3.75
11,<music21.chord.Chord A4 F3 A3>,"[0, 4]","[5, 9]",Etudes Op299No9 C major ,Czerny,3,4
11.25,<music21.chord.Chord B4>,[0],[11],Etudes Op299No9 C major ,Czerny,3,4.25
11.5,<music21.chord.Chord C5>,[0],[0],Etudes Op299No9 C major ,Czerny,3,4.5
11.75,<music21.chord.Chord D5>,[0],[2],Etudes Op299No9 C major ,Czerny,3,4.75
12,<music21.chord.Chord B4 G3 B3>,"[0, 4]","[7, 11]",Etudes Op299No9 C major ,Czerny,4,1
12.25,<music21.chord.Chord A4>,[0],[9],Etudes Op299No9 C major ,Czerny,4,1.25
12.5,<music21.chord.Chord B4>,[0],[11],Etudes Op299No9 C major ,Czerny,4,1.5
12.75,<music21.chord.Chord C5>,[0],[0],Etudes Op299No9 C major ,Czerny,4,1.75
13,<music21.chord.Chord D5>,[0],[2],Etudes Op299No9 C major ,Czerny,4,2
13.25,<music21.chord.Chord C5>,[0],[0],Etudes Op299No9 C major ,Czerny,4,2.25
13.5,<music21.chord.Chord B4>,[0],[11],Etudes Op299No9 C major ,Czerny,4,2.5
13.75,<music21.chord.Chord A4>,[0],[9],Etudes Op299No9 C major ,Czerny,4,2.75
14,<music21.chord.Chord G4>,[0],[7],Etudes Op299No9 C major ,Czerny,4,3
14.25,<music21.chord.Chord A4>,[0],[9],Etudes Op299No9 C major ,Czerny,4,3.25
14.5,<music21.chord.Chord B4>,[0],[11],Etudes Op299No9 C major ,Czerny,4,3.5
14.75,<music21.chord.Chord C5>,[0],[0],Etudes Op299No9 C major ,Czerny,4,3.75
15,<music21.chord.Chord D5 B3 D4>,"[0, 3]","[11, 2]",Etudes Op299No9 C major ,Czerny,4,4
15.25,<music21.chord.Chord E5>,[0],[4],Etudes Op299No9 C major ,Czerny,4,4.25
15.5,<music21.chord.Chord F5>,[0],[5],Etudes Op299No9 C major ,Czerny,4,4.5
15.75,<music21.chord.Chord G5>,[0],[7],Etudes Op299No9 C major ,Czerny,4,4.75
16,<music21.chord.Chord E5 C4 E4>,"[0, 4]","[0, 4]",Etudes Op299No9 C major ,Czerny,5,1
16.25,<music21.chord.Chord D5>,[0],[2],Etudes Op299No9 C major ,Czerny,5,1.25
16.5,<music21.chord.Chord E5>,[0],[4],Etudes Op299No9 C major ,Czerny,5,1.5
16.75,<music21.chord.Chord F5>,[0],[5],Etudes Op299No9 C major ,Czerny,5,1.75
17,<music21.chord.Chord G5>,[0],[7],Etudes Op299No9 C major ,Czerny,5,2
