offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
0.0,<music21.chord.Chord E-5 F#4 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,1,1,1
0.5,<music21.chord.Chord F#5 E-4 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,1,1
1.0,<music21.chord.Chord B4 E4 B2 F#3>,"[0, 2, 7]","[4, 6, 11]",Humoresque in B Op101No2 B major.mid,,1,2
1.5,<music21.chord.Chord F#4 B2 F#3>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,1,2
2.0,<music21.chord.Chord C#5 G4 B2 F#3>,"[0, 1, 5, 7]","[6, 7, 11, 1]",Humoresque in B Op101No2 B major.mid,,2,1
2.25,<music21.chord.Chord E-5 G4 B2 F#3>,"[0, 4, 7, 8]","[11, 3, 6, 7]",Humoresque in B Op101No2 B major.mid,,2,1
2.5,<music21.chord.Chord E5 G#4 B2 F#3>,"[0, 2, 4, 7]","[4, 6, 8, 11]",Humoresque in B Op101No2 B major.mid,,2,1
2.75,<music21.chord.Chord E-5 G#4 B2 F#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",Humoresque in B Op101No2 B major.mid,,2,1
3.0,<music21.chord.Chord E-5 G4 B2 F#3>,"[0, 4, 7, 8]","[11, 3, 6, 7]",Humoresque in B Op101No2 B major.mid,,2,2
3.5,<music21.chord.Chord E-5 F#4 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,2,2
4.0,<music21.chord.Chord E-5 F#4 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,3,1
4.5,<music21.chord.Chord F#5 E-4 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,3,1
5.0,<music21.chord.Chord B4 E4 B2 F#3>,"[0, 2, 7]","[4, 6, 11]",Humoresque in B Op101No2 B major.mid,,3,2
5.5,<music21.chord.Chord F#4 B2 F#3>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,3,2
6.0,<music21.chord.Chord C#5 G#4 E3 B2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Humoresque in B Op101No2 B major.mid,,4,1
6.25,<music21.chord.Chord E-5 G#4 E3 B2>,"[0, 1, 5, 8]","[3, 4, 8, 11]",Humoresque in B Op101No2 B major.mid,,4,1
6.5,<music21.chord.Chord E5 B-4 G3 B2>,"[0, 3, 6, 7]","[4, 7, 10, 11]",Humoresque in B Op101No2 B major.mid,,4,1
6.75,<music21.chord.Chord E-5 B-4 G3 B2>,"[0, 4, 7, 8]","[3, 7, 10, 11]",Humoresque in B Op101No2 B major.mid,,4,1
7.0,<music21.chord.Chord E-5 B4 F#3 B2>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,2,4,2
8.0,<music21.chord.Chord E-5 F#4 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,1,5,1
8.5,<music21.chord.Chord F#5 E-4 B2 F#3>,"[0, 4, 7]","[11, 3, 6]",Humoresque in B Op101No2 B major.mid,,5,1
9.0,<music21.chord.Chord B4 E4 B2 F#3>,"[0, 2, 7]","[4, 6, 11]",Humoresque in B Op101No2 B major.mid,,5,2
9.5,<music21.chord.Chord F#4 B2 F#3>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,5,2
10.0,<music21.chord.Chord C#5 G4 B2 F#3>,"[0, 1, 5, 7]","[6, 7, 11, 1]",Humoresque in B Op101No2 B major.mid,,6,1
