offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
5.5,<music21.chord.Chord E-2>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,0,4.7
6.0,<music21.chord.Chord G#1 G#2>,[0],[8],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,1.0
6.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,1.3
7.0,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,1.7
7.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,2.0
8.0,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,2.3
8.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,2.7
9.0,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,3.0
9.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,3.3
10.0,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,3.7
10.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,4.0
11.0,<music21.chord.Chord B3 E-4 G#4 G1 G2>,"[0, 1, 4, 8]","[7, 8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,4.3
11.5,<music21.chord.Chord B3 E-4 G#4 G#1 G#2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,1,4.7
12.0,<music21.chord.Chord B1 B2>,[0],[11],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,1.0
12.5,<music21.chord.Chord G#3 C#4 E4 G#4 B1 B2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,1.3
13.0,<music21.chord.Chord G#3 C#4 E4 G#4 B1 B2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,1.7
13.375,<music21.chord.Chord G#3 C#4 E4 G#4>,"[0, 3, 7]","[1, 4, 8]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,1.917
13.5,<music21.chord.Chord B-1 B-2>,[0],[10],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,2.0
14.0,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,2.3
14.5,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,2.7
15.0,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,3.0
15.5,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,3.3
16.0,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,3.7
16.5,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,4.0
17.0,<music21.chord.Chord G3 C#4 E4 G4 A1 A2>,"[0, 3, 6, 8]","[1, 4, 7, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,4.3
17.5,<music21.chord.Chord G3 C#4 E4 G4 B-1 B-2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,2,4.7
18.0,<music21.chord.Chord C#2 C#3>,[0],[1],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,3,1.0
18.5,<music21.chord.Chord B-3 E4 G4 B-4 C#2 C#3>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,3,1.3
19.0,<music21.chord.Chord B-3 E4 G4 B-4 C#2 C#3>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,3,1.7
19.5,<music21.chord.Chord B1 B2>,[0],[11],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,3,2.0
20.0,<music21.chord.Chord G#3 E-4 G#4 B1 B2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,3,2.3
20.5,<music21.chord.Chord G#3 E-4 G#4 B1 B2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,3,2.7
21.0,<music21.chord.Chord G#3 E-4 G#4 B1 B2>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,Haberbier,3,3.0
