offset,Chord,Phrase Boundary,Song Beat Number,Measure Number,Measure Beat Number,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0.5,<music21.chord.Chord C5 G5>,,1,1,1,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
1,<music21.chord.Chord C5 G5>,,2,1,2,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
1.5,<music21.chord.Chord C5 G5>,,2,1,2,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
2,<music21.chord.Chord C5 G5>,,3,1,3,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
2.5,<music21.chord.Chord C5 G5>,,3,1,3,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
3.5,<music21.chord.Chord C5 G5>,,4,2,1,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
4,<music21.chord.Chord C5 G5>,,5,2,2,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
4.5,<music21.chord.Chord C5 G5>,,5,2,2,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
5,<music21.chord.Chord C5 G5>,,6,2,3,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
5.5,<music21.chord.Chord C5 G5>,,6,2,3,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
6.5,<music21.chord.Chord C5 G5>,,7,3,1,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,Ambiguous,Ambiguous,Ambiguous,0.0
7,<music21.chord.Chord C5 G5>,,8,3,2,"[0, 5]","[7, 0]","[7, 0]",79,72,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7942672136734980
7.5,<music21.chord.Chord C5 G5 C4>,,8,3,2,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7942672136734980
8,<music21.chord.Chord C5 G5 G4>,,9,3,3,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7942672136734980
8.5,<music21.chord.Chord C5 G5 G4>,,9,3,3,"[0, 5]","[7, 0]","[7, 0]",79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_7",0.7942672136734980
8.75,<music21.chord.Chord C5 G5 E-4>,,9,3,3,"[0, 3, 7]","[0, 3, 7]","[0, 3, 7]",79,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[0, 3, 7]_3",0.7942672136734980
9,<music21.chord.Chord C5 G5 C4>,,10,4,1,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7942672136734980
9.5,<music21.chord.Chord C5 G5 C4>,,10,4,1,"[0, 5]","[7, 0]","[7, 0]",79,60,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[7, 0]_0",0.7942672136734980
