offset,Chord,NormalForm,PCsInNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
0,<music21.chord.Chord A5 C6 F6>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,,,,
0.5,<music21.chord.Chord A5 C6 F6 B-4>,"[0, 4, 5, 7]","[5, 9, 10, 0]",Lighting the Tree S186 F Major.mid,,,,
0.75,<music21.chord.Chord A5 C6 F6 B-4>,"[0, 4, 5, 7]","[5, 9, 10, 0]",Lighting the Tree S186 F Major.mid,,,,
0.875,<music21.chord.Chord B-4>,[0],[10],Lighting the Tree S186 F Major.mid,,,,
1,<music21.chord.Chord G5 C6 E6 C5>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,,,,
2,<music21.chord.Chord F5 A5 D6 D5>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,,,,
2.5,<music21.chord.Chord F5 A5 D6 D5>,"[0, 3, 7]","[2, 5, 9]",Lighting the Tree S186 F Major.mid,,,,
3,<music21.chord.Chord G5 C6 E5>,"[0, 4, 7]","[0, 4, 7]",Lighting the Tree S186 F Major.mid,,,,
5,<music21.chord.Chord D5 F5 B-5 D4>,"[0, 4, 7]","[10, 2, 5]",Lighting the Tree S186 F Major.mid,,,,
5.25,<music21.chord.Chord D5 F5 B-5 E4>,"[0, 4, 6, 7]","[10, 2, 4, 5]",Lighting the Tree S186 F Major.mid,,,,
5.5,<music21.chord.Chord D4>,[0],[2],Lighting the Tree S186 F Major.mid,,,,
5.75,<music21.chord.Chord E4>,[0],[4],Lighting the Tree S186 F Major.mid,,,,
6,<music21.chord.Chord C5 F5 A5 F4>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,,,,
6.5,<music21.chord.Chord F4>,[0],[5],Lighting the Tree S186 F Major.mid,,,,
7,<music21.chord.Chord B-4 D5 G5 G4>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,,,,
7.125,<music21.chord.Chord G4>,[0],[7],Lighting the Tree S186 F Major.mid,,,,
7.5,<music21.chord.Chord B-4 D5 G5 G4>,"[0, 3, 7]","[7, 10, 2]",Lighting the Tree S186 F Major.mid,,,,
7.625,<music21.chord.Chord G4>,[0],[7],Lighting the Tree S186 F Major.mid,,,,
8,<music21.chord.Chord C5 F5 A4>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,,,,
8.25,<music21.chord.Chord A4>,[0],[9],Lighting the Tree S186 F Major.mid,,,,
9,<music21.chord.Chord A4 C5 F5 A3>,"[0, 4, 7]","[5, 9, 0]",Lighting the Tree S186 F Major.mid,,,,
9.25,<music21.chord.Chord A4 C5 F5 B-3>,"[0, 4, 5, 7]","[5, 9, 10, 0]",Lighting the Tree S186 F Major.mid,,,,
9.5,<music21.chord.Chord A3>,[0],[9],Lighting the Tree S186 F Major.mid,,,,
