measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
1,1,0.0,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,1 1/3,0.16666666666666666,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,1 2/3,0.3333333333333333,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 A#5>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,2,0.5,<music21.chord.Chord A#1 B#1 E2 A2 A#2 B#2 E3 A3 A#3>,"[0, 1, 3, 7]","[9, 10, 0, 4]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,2 1/3,0.6666666666666666,<music21.chord.Chord A#1 B#1 E2 A2 A#2 B#2 E3 A3 A#3 B#3 E4 A4 A#4>,"[0, 1, 3, 7]","[9, 10, 0, 4]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,2 2/3,0.8333333333333334,<music21.chord.Chord A#1 B#1 E2 A2 A#2 B#2 E3 A3 A#3 B#3 E4 A4 A#4 A#5>,"[0, 1, 3, 7]","[9, 10, 0, 4]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,3,1.0,<music21.chord.Chord A#1 D#2 G2 A#2 D#3 G3 A#3>,"[0, 4, 7]","[3, 7, 10]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,3 1/3,1.1666666666666667,<music21.chord.Chord A#1 D#2 G2 A#2 D#3 G3 A#3 D#4 G4 A#4>,"[0, 4, 7]","[3, 7, 10]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,3 2/3,1.3333333333333333,<music21.chord.Chord A#1 D#2 G2 A#2 D#3 G3 A#3 D#4 G4 A#4 A#5>,"[0, 4, 7]","[3, 7, 10]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,4,1.5,<music21.chord.Chord C#2 F#2 A#2 C#3 F#3 A#3 C#4>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,4 1/3,1.6666666666666667,<music21.chord.Chord C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 C#5>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,4 2/3,1.8333333333333333,<music21.chord.Chord C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 C#5 C#6>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,5,2.0,<music21.chord.Chord C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 C#5 C#6>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,5 1/3,2.1666666666666665,<music21.chord.Chord C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 C#5 C#6>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,5 2/3,2.3333333333333335,<music21.chord.Chord C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 C#5 C#6>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,6,2.5,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,6 1/3,2.6666666666666665,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,6 2/3,2.8333333333333335,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 A#5>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,7,3.0,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 A#5>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,7 1/3,3.1666666666666665,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 A#5>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
1,7 2/3,3.3333333333333335,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 A#5>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
2,1,3.5,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 A#5>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
2,1 1/6,3.6666666666666665,<music21.chord.Chord A#1 C#2 F#2 A#2 C#3 F#3 A#3 C#4 F#4 A#4 A#5>,"[0, 4, 7]","[6, 10, 1]",Messiaen_Regard_du_Pere.mxl,Messiaen
