measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
1,1,0.0,<music21.chord.Chord B0 B2 F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
2,1,4.0,<music21.chord.Chord B4 C#6>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
2,2,5.0,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
3,1,9.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
3,1 1/3,10.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
3,1 2/3,11.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
4,1,15.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
4,2,16.0,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
4,3,17.0,<music21.chord.Chord B4 C#6>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
4,4,18.0,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
5,1,22.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
5,2,23.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
5,3,24.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
5,4,25.0,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
5,5,26.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
6,1,30.0,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
6,1 1/3,31.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
6,1 2/3,32.0,<music21.chord.Chord F#5 B6>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
6,2,33.0,<music21.chord.Chord B5 C#7>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
6,2 1/3,34.0,<music21.chord.Chord F#5 B6>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
6,2 2/3,35.0,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
7,1,39.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
7,2,40.0,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
7,3,41.0,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
7,4,42.0,<music21.chord.Chord B4 C#6>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
7,5,43.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
7,6,44.0,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
7,7,45.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
8,1,49.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
8,2,50.0,<music21.chord.Chord B5 D7>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
8,3,51.0,<music21.chord.Chord B5 C#7>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
8,4,52.0,<music21.chord.Chord F#5 B6>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
8,5,53.0,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
8,6,54.0,<music21.chord.Chord D5 F#6>,"[0, 4]","[2, 6]",Part_Fuer_Alina.mxl,Part
8,7,55.0,<music21.chord.Chord F#5 G6>,"[0, 1]","[6, 7]",Part_Fuer_Alina.mxl,Part
8,8,56.0,<music21.chord.Chord F#5 A6>,"[0, 3]","[6, 9]",Part_Fuer_Alina.mxl,Part
9,1,60.0,<music21.chord.Chord B4 D6>,"[0, 3]","[11, 2]",Part_Fuer_Alina.mxl,Part
9,2,61.0,<music21.chord.Chord D5 E6>,"[0, 2]","[2, 4]",Part_Fuer_Alina.mxl,Part
9,3,62.0,<music21.chord.Chord F#4 B5>,"[0, 5]","[6, 11]",Part_Fuer_Alina.mxl,Part
9,4,63.0,<music21.chord.Chord B4 C#6>,"[0, 2]","[11, 1]",Part_Fuer_Alina.mxl,Part
