offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
0.0,<music21.chord.Chord A3 A1 A2>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,
2.75,<music21.chord.Chord A3 A1>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,
3.875,<music21.chord.Chord G#2 G#3 G#1>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
7.0,<music21.chord.Chord G#3 G#1>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
7.5,<music21.chord.Chord G#1>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
8.75,<music21.chord.Chord C#3>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,
8.875,<music21.chord.Chord C#2 C#1 C#3>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,
16.5,<music21.chord.Chord C#2 C#1>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,
17.125,<music21.chord.Chord C#2>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,
21.666666666666700,<music21.chord.Chord C#5 G#3 C#4 E4 E3>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,
21.75,<music21.chord.Chord G#4 E3 C#5 G#3 C#4 E4>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,
22.041666666666700,<music21.chord.Chord C#5 G#4 E3>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,
22.25,<music21.chord.Chord C#5>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,
23.125,<music21.chord.Chord E5 G#4 B3 B4 E4 G#3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
23.375,<music21.chord.Chord E5 G#4 B3 B4 G#3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
23.5,<music21.chord.Chord E5 B4 G#3>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,
