measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
1,1,0.0,<music21.chord.Chord D2 F#2 A2 F3 A3 C4 E4>,"[0, 3, 5, 7, 8, 9]","[9, 0, 2, 4, 5, 6]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,2 1/2,1.5,<music21.chord.Chord D2 F#2 A2 F3 A3 C4 E4>,"[0, 3, 5, 7, 8, 9]","[9, 0, 2, 4, 5, 6]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,3,2.0,<music21.chord.Chord E2 G#2 B2 E3 G3 B3 D4>,"[0, 3, 5, 8, 9]","[11, 2, 4, 7, 8]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5,4.0,<music21.chord.Chord C1 C2 B2>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5 1/8,4.125,<music21.chord.Chord E1 B2>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5 1/4,4.25,<music21.chord.Chord G1 B2>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5 3/8,4.375,<music21.chord.Chord B1 B2>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5 1/2,4.5,<music21.chord.Chord C2 B2>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5 5/8,4.625,<music21.chord.Chord E2 B2>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5 3/4,4.75,<music21.chord.Chord G2 B2>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,5 7/8,4.875,<music21.chord.Chord B2>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6,5.0,<music21.chord.Chord C2 B2>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6 1/8,5.125,<music21.chord.Chord E2 B2>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6 1/4,5.25,<music21.chord.Chord G2 B2>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6 3/8,5.375,<music21.chord.Chord B2>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6 1/2,5.5,<music21.chord.Chord B2 C3>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6 5/8,5.625,<music21.chord.Chord B2 E3>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6 3/4,5.75,<music21.chord.Chord B2 G3>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,6 7/8,5.875,<music21.chord.Chord B2 B3>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7,6.0,<music21.chord.Chord B2 C3>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7 1/8,6.125,<music21.chord.Chord B2 E3>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7 1/4,6.25,<music21.chord.Chord B2 G3>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7 3/8,6.375,<music21.chord.Chord B2 B3>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7 1/2,6.5,<music21.chord.Chord B2 C4>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7 5/8,6.625,<music21.chord.Chord B2 E4>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7 3/4,6.75,<music21.chord.Chord B2 G4>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,7 7/8,6.875,<music21.chord.Chord B2 B4>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,8,7.0,<music21.chord.Chord B2 C4>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,8 1/8,7.125,<music21.chord.Chord B2 E4>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,8 1/4,7.25,<music21.chord.Chord B2 G4>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,8 3/8,7.375,<music21.chord.Chord B2 B4>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,8 1/2,7.5,<music21.chord.Chord B2 C5>,"[0, 1]","[11, 0]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,8 5/8,7.625,<music21.chord.Chord B2 E5>,"[0, 5]","[11, 4]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,8 3/4,7.75,<music21.chord.Chord B2 G5>,"[0, 4]","[7, 11]",Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,8 7/8,7.875,<music21.chord.Chord B2 B5>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,9,8.0,<music21.chord.Chord C5>,[0],[0],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,9 1/8,8.125,<music21.chord.Chord E5>,[0],[4],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,9 1/4,8.25,<music21.chord.Chord G5>,[0],[7],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,9 3/8,8.375,<music21.chord.Chord B5>,[0],[11],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,9 1/2,8.5,<music21.chord.Chord C6>,[0],[0],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,9 5/8,8.625,<music21.chord.Chord E6>,[0],[4],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
1,9 3/4,8.75,<music21.chord.Chord G6>,[0],[7],Rautavaara_Etude_op42_no1_Thirds.mxl,Rautavaara
