offset,Chord,NormalForm,PCsinNormalForm,file,Composer,Measure Number,Measure Count
0.0,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,N/A,N/A
1.0,<music21.chord.Chord E4 E3>,[0],[4],Ogives No3 D minor.mid,Satie,N/A,N/A
2.0,<music21.chord.Chord F4 F3>,[0],[5],Ogives No3 D minor.mid,Satie,N/A,N/A
4.0,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,N/A,N/A
5.0,<music21.chord.Chord C4 C3>,[0],[0],Ogives No3 D minor.mid,Satie,N/A,N/A
7.0,<music21.chord.Chord A3 A2>,[0],[9],Ogives No3 D minor.mid,Satie,N/A,N/A
7.5,<music21.chord.Chord B-3 B-2>,[0],[10],Ogives No3 D minor.mid,Satie,N/A,N/A
8.0,<music21.chord.Chord G3 G2>,[0],[7],Ogives No3 D minor.mid,Satie,N/A,N/A
8.5,<music21.chord.Chord A3 A2>,[0],[9],Ogives No3 D minor.mid,Satie,N/A,N/A
9.0,<music21.chord.Chord C4 C3>,[0],[0],Ogives No3 D minor.mid,Satie,N/A,N/A
11.0,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,N/A,N/A
12.0,<music21.chord.Chord C4 C3>,[0],[0],Ogives No3 D minor.mid,Satie,N/A,N/A
14.0,<music21.chord.Chord A3 A2>,[0],[9],Ogives No3 D minor.mid,Satie,N/A,N/A
14.5,<music21.chord.Chord B-3 B-2>,[0],[10],Ogives No3 D minor.mid,Satie,N/A,N/A
15.0,<music21.chord.Chord C4 C3>,[0],[0],Ogives No3 D minor.mid,Satie,N/A,N/A
15.5,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,N/A,N/A
16.0,<music21.chord.Chord E4 E3>,[0],[4],Ogives No3 D minor.mid,Satie,N/A,N/A
18.0,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,N/A,N/A
19.0,<music21.chord.Chord C4 C3>,[0],[0],Ogives No3 D minor.mid,Satie,N/A,N/A
20.0,<music21.chord.Chord D4 D3>,[0],[2],Ogives No3 D minor.mid,Satie,N/A,N/A
