measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
1,1,0.0,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,Schnittke
1,1 1/2,0.5,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,Schnittke
1,2 1/2,1.5,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,Schnittke
1,3,2.0,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,Schnittke
1,4,3.0,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,Schnittke
2,1,4.0,<music21.chord.Chord E-3 G-3 B-3>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,Schnittke
2,2,5.0,<music21.chord.Chord D5>,[0],[2],Schnittke_Tango.mxl,Schnittke
2,2 1/2,5.5,<music21.chord.Chord E-5>,[0],[3],Schnittke_Tango.mxl,Schnittke
2,3,6.0,<music21.chord.Chord D5>,[0],[2],Schnittke_Tango.mxl,Schnittke
2,3 1/2,6.5,<music21.chord.Chord E-5>,[0],[3],Schnittke_Tango.mxl,Schnittke
2,4,7.0,<music21.chord.Chord F5>,[0],[5],Schnittke_Tango.mxl,Schnittke
2,4 1/2,7.5,<music21.chord.Chord E-5>,[0],[3],Schnittke_Tango.mxl,Schnittke
3,1,8.0,<music21.chord.Chord E-3 G-3 B-3 G-4>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,Schnittke
3,1 1/2,8.5,<music21.chord.Chord E-3 G-3 B-3 G-4>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,Schnittke
3,2 1/2,9.5,<music21.chord.Chord E-3 G-3 B-3 G-4>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,Schnittke
3,3,10.0,<music21.chord.Chord E-3 G-3 B-3 G-4>,"[0, 3, 7]","[3, 6, 10]",Schnittke_Tango.mxl,Schnittke
