offset,Chord,NormalForm,PCsInNormalForm,file,Composer,Measure Number,Measure Beat Number
0,<music21.chord.Chord C#4 E4 E3 A2>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,,
0.5,<music21.chord.Chord D4 F#4 F#3 A2>,"[0, 4, 7]","[2, 6, 9]",Con moto D850 II A Major.mid,Schubert,,
1,<music21.chord.Chord C4 E-4 E-3 A2>,"[0, 3, 6]","[9, 0, 3]",Con moto D850 II A Major.mid,Schubert,,
1.5,<music21.chord.Chord C#4 E4 E3 A2>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,1,1.0
3,<music21.chord.Chord A4 C#4 E4 A3 A2 E3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,1,2.5
3.5,<music21.chord.Chord B4 C#4 E4 B3 A2 E3>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Con moto D850 II A Major.mid,Schubert,1,3.0
4,<music21.chord.Chord C#5 C#4 F4 A2 F3 A3>,"[0, 4, 8]","[1, 5, 9]",Con moto D850 II A Major.mid,Schubert,1,3.5
4.5,<music21.chord.Chord C#5 D4 F#4 D3 F#3 B-3>,"[0, 4, 7, 8]","[6, 10, 1, 2]",Con moto D850 II A Major.mid,Schubert,2,1.0
5.5,<music21.chord.Chord B4 D4 F#4 D3 F#3 B3>,"[0, 3, 7]","[11, 2, 6]",Con moto D850 II A Major.mid,Schubert,2,2.0
6,<music21.chord.Chord A4 D4 D3 F#3>,"[0, 4, 7]","[2, 6, 9]",Con moto D850 II A Major.mid,Schubert,2,2.5
6.5,<music21.chord.Chord G#4 D4 E3 G#3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,2,3.0
7,<music21.chord.Chord F#4 D4 F#3 A3>,"[0, 4, 7]","[2, 6, 9]",Con moto D850 II A Major.mid,Schubert,2,3.5
7.5,<music21.chord.Chord E4 D4 G#2 E3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,3,1.0
9,<music21.chord.Chord E4 D4 G#2 E3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,3,2.5
9.125,<music21.chord.Chord E4 D4 G#2 E3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,3,2.625
9.25,<music21.chord.Chord F#4 D4 G#2 E3>,"[0, 2, 4, 6]","[2, 4, 6, 8]",Con moto D850 II A Major.mid,Schubert,3,2.75
9.375,<music21.chord.Chord G#4 D4 G#2 E3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,3,2.875
9.5,<music21.chord.Chord D4 F#4 G#2 F#3>,"[0, 4, 6]","[2, 6, 8]",Con moto D850 II A Major.mid,Schubert,3,3.0
10,<music21.chord.Chord E4 D4 G#2 E3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,3,3.5
10.5,<music21.chord.Chord D4 F#4 F#3 A2>,"[0, 4, 7]","[2, 6, 9]",Con moto D850 II A Major.mid,Schubert,4,1.0
11.5,<music21.chord.Chord C#4 E4 E3 A2>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,4,2.0
12,<music21.chord.Chord A3 C#4 C#3 A2>,"[0, 4]","[9, 1]",Con moto D850 II A Major.mid,Schubert,4,2.5
12.5,<music21.chord.Chord D4 F#4 F#3 A2>,"[0, 4, 7]","[2, 6, 9]",Con moto D850 II A Major.mid,Schubert,4,3.0
13,<music21.chord.Chord C4 E-4 E-3 A2>,"[0, 3, 6]","[9, 0, 3]",Con moto D850 II A Major.mid,Schubert,4,3.5
13.5,<music21.chord.Chord E4 C#4 A2 E3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,5,1.0
15,<music21.chord.Chord E4 A4 C#4>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,5,2.5
15.5,<music21.chord.Chord C#5 E4 A4 A3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,5,3.0
16,<music21.chord.Chord E4 A4 C#5 E5 A2 E3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,5,3.5
16.5,<music21.chord.Chord E4 G#4 C#5 E5 G#2 E3 G#3>,"[0, 3, 7]","[1, 4, 8]",Con moto D850 II A Major.mid,Schubert,6,1.0
18,<music21.chord.Chord E4 E5 G#4 C#4 G#3>,"[0, 3, 7]","[1, 4, 8]",Con moto D850 II A Major.mid,Schubert,6,2.5
18.5,<music21.chord.Chord F#4 E-5 G#4 C4 G#3>,"[0, 3, 6, 8]","[0, 3, 6, 8]",Con moto D850 II A Major.mid,Schubert,6,3.0
19,<music21.chord.Chord G#4 F#4 E-4 G#3>,"[0, 3, 5]","[3, 6, 8]",Con moto D850 II A Major.mid,Schubert,6,3.5
19.5,<music21.chord.Chord E4 G#4 C#5 C#3 G#3 C#4>,"[0, 3, 7]","[1, 4, 8]",Con moto D850 II A Major.mid,Schubert,7,1.0
21,<music21.chord.Chord C#4 C#5 E4 A3 E3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,7,2.5
21.5,<music21.chord.Chord D4 B4 E4 G#3 E3>,"[0, 3, 6, 8]","[8, 11, 2, 4]",Con moto D850 II A Major.mid,Schubert,7,3.0
22,<music21.chord.Chord E4 D4 B3 E3>,"[0, 3, 5]","[11, 2, 4]",Con moto D850 II A Major.mid,Schubert,7,3.5
22.5,<music21.chord.Chord C#4 A4 A2 E3 A3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,8,1.0
24,<music21.chord.Chord C#4 E4 E3 A2>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,8,2.5
24.5,<music21.chord.Chord D4 F#4 F#3 A2>,"[0, 4, 7]","[2, 6, 9]",Con moto D850 II A Major.mid,Schubert,8,3.0
25,<music21.chord.Chord C4 E-4 E-3 A2>,"[0, 3, 6]","[9, 0, 3]",Con moto D850 II A Major.mid,Schubert,8,3.5
25.5,<music21.chord.Chord C#4 E4 E3 A2>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,9,1.0
27,<music21.chord.Chord A4 C#4 E4 A3 A2 E3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,9,2.5
27.5,<music21.chord.Chord B4 C#4 E4 B3 A2 E3>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Con moto D850 II A Major.mid,Schubert,9,3.0
28,<music21.chord.Chord C#5 C#4 F4 A2 F3 A3>,"[0, 4, 8]","[1, 5, 9]",Con moto D850 II A Major.mid,Schubert,9,3.5
28.5,<music21.chord.Chord C#5 D4 F#4 D3 F#3 B-3>,"[0, 4, 7, 8]","[6, 10, 1, 2]",Con moto D850 II A Major.mid,Schubert,10,1.0
29.5,<music21.chord.Chord B4 D4 F#4 D3 F#3 B3>,"[0, 3, 7]","[11, 2, 6]",Con moto D850 II A Major.mid,Schubert,10,2.0
30,<music21.chord.Chord A4 D4 D3 F#3>,"[0, 4, 7]","[2, 6, 9]",Con moto D850 II A Major.mid,Schubert,10,2.5
30.5,<music21.chord.Chord G#4 D4 E3 G#3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,10,3.0
31,<music21.chord.Chord F#4 D4 F#3 A3>,"[0, 4, 7]","[2, 6, 9]",Con moto D850 II A Major.mid,Schubert,10,3.5
31.5,<music21.chord.Chord E4 D4 G#2 E3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,11,1.0
33,<music21.chord.Chord E4 D4 G#2 E3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,11,2.5
33.125,<music21.chord.Chord E4 D4 G#2 E3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,11,2.625
33.25,<music21.chord.Chord F#4 D4 G#2 E3>,"[0, 2, 4, 6]","[2, 4, 6, 8]",Con moto D850 II A Major.mid,Schubert,11,2.75
33.375,<music21.chord.Chord G#4 D4 G#2 E3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,11,2.875
33.5,<music21.chord.Chord D4 F#4 G#2 F#3>,"[0, 4, 6]","[2, 6, 8]",Con moto D850 II A Major.mid,Schubert,11,3.0
34,<music21.chord.Chord E4 D4 G#2 E3>,"[0, 2, 6]","[2, 4, 8]",Con moto D850 II A Major.mid,Schubert,11,3.5
34.5,<music21.chord.Chord D4 F#4 F#3 A2>,"[0, 4, 7]","[2, 6, 9]",Con moto D850 II A Major.mid,Schubert,12,1.0
35.5,<music21.chord.Chord C#4 E4 E3 A2>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,12,2.0
36,<music21.chord.Chord A3 C#4 C#3 A2>,"[0, 4]","[9, 1]",Con moto D850 II A Major.mid,Schubert,12,2.5
36.5,<music21.chord.Chord D4 F#4 F#3 A2>,"[0, 4, 7]","[2, 6, 9]",Con moto D850 II A Major.mid,Schubert,12,3.0
37,<music21.chord.Chord C4 E-4 E-3 A2>,"[0, 3, 6]","[9, 0, 3]",Con moto D850 II A Major.mid,Schubert,12,3.5
37.5,<music21.chord.Chord E4 C#4 A2 E3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,13,1.0
39,<music21.chord.Chord E4 A4 C#4>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,13,2.5
39.5,<music21.chord.Chord C#5 E4 A4 A3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,13,3.0
40,<music21.chord.Chord E4 A4 C#5 E5 A2 E3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,13,3.5
40.5,<music21.chord.Chord E4 G#4 C#5 E5 G#2 E3 G#3>,"[0, 3, 7]","[1, 4, 8]",Con moto D850 II A Major.mid,Schubert,14,1.0
42,<music21.chord.Chord E4 E5 G#4 C#4 G#3>,"[0, 3, 7]","[1, 4, 8]",Con moto D850 II A Major.mid,Schubert,14,2.5
42.5,<music21.chord.Chord F#4 E-5 G#4 C4 G#3>,"[0, 3, 6, 8]","[0, 3, 6, 8]",Con moto D850 II A Major.mid,Schubert,14,3.0
43,<music21.chord.Chord G#4 F#4 E-4 G#3>,"[0, 3, 5]","[3, 6, 8]",Con moto D850 II A Major.mid,Schubert,14,3.5
43.5,<music21.chord.Chord E4 G#4 C#5 C#3 G#3 C#4>,"[0, 3, 7]","[1, 4, 8]",Con moto D850 II A Major.mid,Schubert,15,1.0
45,<music21.chord.Chord C#4 C#5 E4 A3 E3>,"[0, 4, 7]","[9, 1, 4]",Con moto D850 II A Major.mid,Schubert,15,2.5
45.5,<music21.chord.Chord D4 B4 E4 G#3 E3>,"[0, 3, 6, 8]","[8, 11, 2, 4]",Con moto D850 II A Major.mid,Schubert,15,3.0
46,<music21.chord.Chord E4 D4 B3 E3>,"[0, 3, 5]","[11, 2, 4]",Con moto D850 II A Major.mid,Schubert,15,3.5
46.5,<music21.chord.Chord A4 C#4 A3 F#3>,"[0, 3, 7]","[6, 9, 1]",Con moto D850 II A Major.mid,Schubert,16,1.0
48,<music21.chord.Chord G4 C#4 B-4 G3 E3>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Con moto D850 II A Major.mid,Schubert,16,2.5
48.5,<music21.chord.Chord D4 B4 G4 D3 G3>,"[0, 4, 7]","[7, 11, 2]",Con moto D850 II A Major.mid,Schubert,16,3.0
49,<music21.chord.Chord E4 G4 B-4 C#5 G3 C#3>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Con moto D850 II A Major.mid,Schubert,16,3.5
49.5,<music21.chord.Chord D4 G4 B4 D5 G3 B2>,"[0, 4, 7]","[7, 11, 2]",Con moto D850 II A Major.mid,Schubert,17,1.0
