offset,Chord,NormalForm,PCsInNormalForm,file,Composer,Measure Number,Measure Count
16.125,<music21.chord.Chord F5>,[0],[5],Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,,4.500
17.5,<music21.chord.Chord F5 D2>,"[0, 3]","[2, 5]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,1,1.9
17.625,<music21.chord.Chord F5 B-2>,"[0, 5]","[5, 10]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,1,2.000
18.5,<music21.chord.Chord F5 G2>,"[0, 2]","[5, 7]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,1,2.9
18.625,<music21.chord.Chord F5 E2>,"[0, 1]","[4, 5]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,1,3.000
19.5,<music21.chord.Chord B-4 F5 B-3 E2>,"[0, 1, 6]","[4, 5, 10]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,1,3.9
19.625,<music21.chord.Chord G4 F5 B-3 E2>,"[0, 1, 3, 6]","[4, 5, 7, 10]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,1,4.000
20.5,<music21.chord.Chord F5>,[0],[5],Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,1,4.9
20.625,<music21.chord.Chord F4 F5 D4 D2>,"[0, 3]","[2, 5]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,2,1.000
20.875,<music21.chord.Chord F5 D4 D2>,"[0, 3]","[2, 5]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,2,1.250
21.125,<music21.chord.Chord F5>,[0],[5],Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,2,1.500
21.5,<music21.chord.Chord F5 D2>,"[0, 3]","[2, 5]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,2,1.9
21.625,<music21.chord.Chord F5 D3>,"[0, 3]","[2, 5]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,2,2.000
22.5,<music21.chord.Chord F5 B-2>,"[0, 5]","[5, 10]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,2,2.9
22.625,<music21.chord.Chord F5 A2>,"[0, 4]","[5, 9]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,2,3.000
23.5,<music21.chord.Chord E-5 F5 G4 A2>,"[0, 2, 4, 6]","[3, 5, 7, 9]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,2,3.9
23.625,<music21.chord.Chord C5 F5 G4 A2>,"[0, 2, 4, 7]","[5, 7, 9, 0]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,2,4.000
24.5,<music21.chord.Chord F5>,[0],[5],Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,2,4.9
24.625,<music21.chord.Chord B-4 F5 G4 G2>,"[0, 2, 5]","[5, 7, 10]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,3,1.000
25.125,<music21.chord.Chord F5 B-4 G4>,"[0, 2, 5]","[5, 7, 10]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,3,1.500
25.5,<music21.chord.Chord B-4 F5 G4>,"[0, 2, 5]","[5, 7, 10]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,3,1.9
25.625,<music21.chord.Chord F5 B-4>,"[0, 5]","[5, 10]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,3,2.000
26.45833333,<music21.chord.Chord B-4>,[0],[10],Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,3,2.83333333
26.5,<music21.chord.Chord B-4 E4 F4>,"[0, 1, 6]","[4, 5, 10]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,3,2.9
26.625,<music21.chord.Chord E5 B-4 E4>,"[0, 6]","[4, 10]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,3,3.000
27.5,<music21.chord.Chord D5 G4 B-4 D4>,"[0, 3, 7]","[7, 10, 2]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,3,3.9
27.625,<music21.chord.Chord G4>,[0],[7],Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,3,4.000
28.625,<music21.chord.Chord E5 G4 E4 F4>,"[0, 1, 3]","[4, 5, 7]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,4,1.000
29.5,<music21.chord.Chord D5 F4 A4 D4>,"[0, 3, 7]","[2, 5, 9]",Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,4,1.9
30.5,<music21.chord.Chord D4>,[0],[2],Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,4,2.9
30.625,<music21.chord.Chord G3>,[0],[7],Waldszenen Op 82 Verrufene Stelle D minor.mid,Schumann,4,3.000
