measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
0,2 2/3,0.0,<music21.chord.Chord B3>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,1,0.5,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,1 1/2,1.25,<music21.chord.Chord E3 G3 B3 F#4>,"[0, 2, 3, 7]","[4, 6, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,1 2/3,1.5,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,2,2.0,<music21.chord.Chord E3 A3 C#4 A4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,2 1/2,2.75,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
1,2 2/3,3.0,<music21.chord.Chord E3 A3 C#4 A4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
2,1,3.5,<music21.chord.Chord E3 G3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
2,1 1/3,4.0,<music21.chord.Chord E3 G3 B3 E4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
2,2,5.0,<music21.chord.Chord E3 A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
2,2 2/3,6.0,<music21.chord.Chord E3 A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
3,1,6.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
3,1 1/2,7.25,<music21.chord.Chord E3 G3 B3 A4>,"[0, 3, 5, 7]","[4, 7, 9, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
3,1 2/3,7.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
3,2,8.0,<music21.chord.Chord E3 A3 C#4 E5>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
3,2 1/2,8.75,<music21.chord.Chord E3 A3 C#4 D5>,"[0, 4, 5, 7]","[9, 1, 2, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
3,2 2/3,9.0,<music21.chord.Chord E3 A3 C#4 E5>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
4,1,9.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
4,2,11.0,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
4,2 1/3,11.5,<music21.chord.Chord E3 A3 C#4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
4,2 2/3,12.0,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
5,1,12.5,<music21.chord.Chord F3 A3 A4>,"[0, 4]","[5, 9]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
5,1 1/3,13.0,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
5,1 2/3,13.5,<music21.chord.Chord F4 C5>,"[0, 5]","[0, 5]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
5,2,14.0,<music21.chord.Chord C4 C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
5,2 1/3,14.5,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
5,2 2/3,15.0,<music21.chord.Chord A4>,[0],[9],Sculthorpe_Sea_Chant.mxl,Sculthorpe
6,1,15.5,<music21.chord.Chord E3 B3 G4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
6,1 1/3,16.0,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
6,1 2/3,16.5,<music21.chord.Chord E4 B4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
6,2,17.0,<music21.chord.Chord B3 B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
6,2 1/3,17.5,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
