offset,Chord,NormalForm,PCsInNormalForm,file,Composer,measureNumber,beatNumber
0.0,<music21.chord.Chord B-3>,[0],[10],Simpson_Invention_no6.xml,Simpson,1,1
0.5,<music21.chord.Chord B-3 D4>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,1,1 1/2
1.0,<music21.chord.Chord F3 F4>,[0],[5],Simpson_Invention_no6.xml,Simpson,1,2
1.5,<music21.chord.Chord D3 B-4>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,1,2 1/2
2.0,<music21.chord.Chord E-3 C5>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,Simpson,2,1
2.5,<music21.chord.Chord E-3 B-4>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,2,1 1/2
3.0,<music21.chord.Chord F3 A4>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,Simpson,2,2
3.5,<music21.chord.Chord F3 G4>,"[0, 2]","[5, 7]",Simpson_Invention_no6.xml,Simpson,2,2 1/2
4.0,<music21.chord.Chord B-2 F4>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,Simpson,3,1
4.5,<music21.chord.Chord D3 B-4>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,3,1 1/2
5.0,<music21.chord.Chord F3 B-4>,"[0, 5]","[5, 10]",Simpson_Invention_no6.xml,Simpson,3,2
5.5,<music21.chord.Chord B-3 D5>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,3,2 1/2
6.0,<music21.chord.Chord C4 E-5>,"[0, 3]","[0, 3]",Simpson_Invention_no6.xml,Simpson,4,1
6.5,<music21.chord.Chord B-3 E-5>,"[0, 5]","[10, 3]",Simpson_Invention_no6.xml,Simpson,4,1 1/2
7.0,<music21.chord.Chord A3 F5>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,Simpson,4,2
7.125,<music21.chord.Chord A3 E-5>,"[0, 6]","[3, 9]",Simpson_Invention_no6.xml,Simpson,4,2 1/8
7.25,<music21.chord.Chord A3 F5>,"[0, 4]","[5, 9]",Simpson_Invention_no6.xml,Simpson,4,2 1/4
7.375,<music21.chord.Chord A3 E-5>,"[0, 6]","[3, 9]",Simpson_Invention_no6.xml,Simpson,4,2 3/8
7.5,<music21.chord.Chord F3 F5>,[0],[5],Simpson_Invention_no6.xml,Simpson,4,2 1/2
7.625,<music21.chord.Chord F3 E-5>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,Simpson,4,2 5/8
7.75,<music21.chord.Chord F3 D5>,"[0, 3]","[2, 5]",Simpson_Invention_no6.xml,Simpson,4,2 3/4
7.875,<music21.chord.Chord F3 E-5>,"[0, 2]","[3, 5]",Simpson_Invention_no6.xml,Simpson,4,2 7/8
8.0,<music21.chord.Chord B-3 D5>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,5,1
8.5,<music21.chord.Chord B-3 D5>,"[0, 4]","[10, 2]",Simpson_Invention_no6.xml,Simpson,5,1 1/2
