offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
3,<music21.chord.Chord G5 E4 G4>,"[0, 3]","[4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,1,1
4,<music21.chord.Chord E4 G4 E5>,"[0, 3]","[4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,1,1.66666666666667
4.5,<music21.chord.Chord F#5 E4 A4>,"[0, 2, 5]","[4, 6, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,1,2.0
5.5,<music21.chord.Chord E4 A4 F#5>,"[0, 2, 5]","[4, 6, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,1,2.7
6,<music21.chord.Chord G5 E4 B4>,"[0, 3, 7]","[4, 7, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,2,1
7,<music21.chord.Chord E4 B4 E5>,"[0, 5]","[11, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,2,1.66666666666667
7.5,<music21.chord.Chord E4 C5 F#5>,"[0, 4, 6]","[0, 4, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,2,2.0
8.25,<music21.chord.Chord G5 E4 C5>,"[0, 4, 7]","[0, 4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,2,2.50
8.5,<music21.chord.Chord E4 C5 F#5>,"[0, 4, 6]","[0, 4, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,2,2.7
9,<music21.chord.Chord G5 E4 D5>,"[0, 2, 5]","[2, 4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,3,1
10,<music21.chord.Chord E4 D5 G5>,"[0, 2, 5]","[2, 4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,3,1.66666666666667
10.5,<music21.chord.Chord E4 C5 E5 G5>,"[0, 4, 7]","[0, 4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,3,2.0
11.25,<music21.chord.Chord F#5 E4 C5>,"[0, 4, 6]","[0, 4, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,3,2.50
11.5,<music21.chord.Chord G5 E4>,"[0, 3]","[4, 7]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,3,2.7
12,<music21.chord.Chord A5 C5 D4>,"[0, 3, 5]","[9, 0, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,4,1
13,<music21.chord.Chord F#5 C5 D4>,"[0, 2, 6]","[0, 2, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,4,1.66666666666667
13.375,<music21.chord.Chord A5 F#5 C5 D4>,"[0, 3, 6, 8]","[6, 9, 0, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,4,1.917
13.5,<music21.chord.Chord B4 D4 G5>,"[0, 4, 7]","[7, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,4,2.0
14.25,<music21.chord.Chord F#5 B4 D4>,"[0, 3, 7]","[11, 2, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,4,2.50
14.5,<music21.chord.Chord B4 E5>,"[0, 5]","[11, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,4,2.7
15,<music21.chord.Chord F#5 C4 B4>,"[0, 5, 6]","[6, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,5,1
16,<music21.chord.Chord C4 B4 F#5>,"[0, 5, 6]","[6, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,5,1.66666666666667
16.5,<music21.chord.Chord F#5 C4 A4>,"[0, 3, 6]","[6, 9, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,5,2.0
17.5,<music21.chord.Chord A5 C4 A4>,"[0, 3]","[9, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,5,2.7
18,<music21.chord.Chord B4 C4 G5>,"[0, 4, 5]","[7, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,6,1
18.75,<music21.chord.Chord F#5 B4 C4>,"[0, 5, 6]","[6, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,6,1.50
19,<music21.chord.Chord B4 E5 C4>,"[0, 1, 5]","[11, 0, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,6,1.66666666666667
19.5,<music21.chord.Chord B4 F#5 D4>,"[0, 3, 7]","[11, 2, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,6,2.0
