offset,Chord,NormalForm,PCsInNormalForm,file,Composer,measureNumber,beatNumber
0.0,<music21.chord.Chord D-2>,[0],[1],Zhang_Mazurka.xml,Zhang,1,1
1.0,<music21.chord.Chord A-3 D-4 F4 F5>,"[0, 4, 7]","[1, 5, 8]",Zhang_Mazurka.xml,Zhang,1,2
2.0,<music21.chord.Chord A-3 D-4 F4 F5>,"[0, 4, 7]","[1, 5, 8]",Zhang_Mazurka.xml,Zhang,1,3
2.5,<music21.chord.Chord A-3 D-4 F4 E-5>,"[0, 2, 4, 7]","[1, 3, 5, 8]",Zhang_Mazurka.xml,Zhang,1,3 1/2
3.0,<music21.chord.Chord D-2 D-5>,[0],[1],Zhang_Mazurka.xml,Zhang,2,1
3.75,<music21.chord.Chord D-2 A4>,"[0, 4]","[9, 1]",Zhang_Mazurka.xml,Zhang,2,1 3/4
4.0,<music21.chord.Chord A3 D-4 F4 C5>,"[0, 4, 7, 8]","[5, 9, 0, 1]",Zhang_Mazurka.xml,Zhang,2,2
5.0,<music21.chord.Chord A3 D-4 F4 C5>,"[0, 4, 7, 8]","[5, 9, 0, 1]",Zhang_Mazurka.xml,Zhang,2,3
5.5,<music21.chord.Chord A3 D-4 F4 B-4>,"[0, 1, 4, 8]","[9, 10, 1, 5]",Zhang_Mazurka.xml,Zhang,2,3 1/2
6.0,<music21.chord.Chord D-3 B-4>,"[0, 3]","[10, 1]",Zhang_Mazurka.xml,Zhang,3,1
6.333333333333330,<music21.chord.Chord D-3 A4>,"[0, 4]","[9, 1]",Zhang_Mazurka.xml,Zhang,3,1 1/3
6.666666666666670,<music21.chord.Chord D-3 B-4>,"[0, 3]","[10, 1]",Zhang_Mazurka.xml,Zhang,3,1 2/3
7.0,<music21.chord.Chord B-3 D-4 F4 C5>,"[0, 2, 3, 7]","[10, 0, 1, 5]",Zhang_Mazurka.xml,Zhang,3,2
7.333333333333330,<music21.chord.Chord B-3 D-4 F4 D-5>,"[0, 3, 7]","[10, 1, 5]",Zhang_Mazurka.xml,Zhang,3,2 1/3
7.666666666666670,<music21.chord.Chord B-3 D-4 F4 F5>,"[0, 3, 7]","[10, 1, 5]",Zhang_Mazurka.xml,Zhang,3,2 2/3
8.0,<music21.chord.Chord B-3 D-4 F4 C6>,"[0, 2, 3, 7]","[10, 0, 1, 5]",Zhang_Mazurka.xml,Zhang,3,3
8.5,<music21.chord.Chord B-3 D-4 F4>,"[0, 3, 7]","[10, 1, 5]",Zhang_Mazurka.xml,Zhang,3,3 1/2
8.75,<music21.chord.Chord B-3 D-4 F4 C6>,"[0, 2, 3, 7]","[10, 0, 1, 5]",Zhang_Mazurka.xml,Zhang,3,3 3/4
9.0,<music21.chord.Chord D-2 C6>,"[0, 1]","[0, 1]",Zhang_Mazurka.xml,Zhang,4,1
9.75,<music21.chord.Chord D-2 F5>,"[0, 4]","[1, 5]",Zhang_Mazurka.xml,Zhang,4,1 3/4
10.0,<music21.chord.Chord C-4 D-4 F4 B-5>,"[0, 1, 3, 7]","[10, 11, 1, 5]",Zhang_Mazurka.xml,Zhang,4,2
10.75,<music21.chord.Chord C-4 D-4 F4 B--5>,"[0, 2, 4, 8]","[9, 11, 1, 5]",Zhang_Mazurka.xml,Zhang,4,2 3/4
11.0,<music21.chord.Chord C-4 D-4 F4 A-5>,"[0, 3, 6, 8]","[5, 8, 11, 1]",Zhang_Mazurka.xml,Zhang,4,3
12.0,<music21.chord.Chord G-2 A-5>,"[0, 2]","[6, 8]",Zhang_Mazurka.xml,Zhang,5,1
12.75,<music21.chord.Chord G-2 A--5>,"[0, 1]","[6, 7]",Zhang_Mazurka.xml,Zhang,5,1 3/4
13.0,<music21.chord.Chord B-3 D-4 G-4 G-5>,"[0, 4, 7]","[6, 10, 1]",Zhang_Mazurka.xml,Zhang,5,2
14.0,<music21.chord.Chord B-3 D-4 G-4 D-5>,"[0, 4, 7]","[6, 10, 1]",Zhang_Mazurka.xml,Zhang,5,3
14.5,<music21.chord.Chord B-3 D-4 G-4 E-5>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Zhang_Mazurka.xml,Zhang,5,3 1/2
15.0,<music21.chord.Chord E-2 F5>,"[0, 2]","[3, 5]",Zhang_Mazurka.xml,Zhang,6,1
15.333333333333300,<music21.chord.Chord E-2 D-5>,"[0, 2]","[1, 3]",Zhang_Mazurka.xml,Zhang,6,1 1/3
15.666666666666700,<music21.chord.Chord E-2 B-4>,"[0, 5]","[10, 3]",Zhang_Mazurka.xml,Zhang,6,1 2/3
16.0,<music21.chord.Chord E-3 D-4 G-4>,"[0, 2, 5]","[1, 3, 6]",Zhang_Mazurka.xml,Zhang,6,2
16.5,<music21.chord.Chord E-3 D-4 F5>,"[0, 2, 4]","[1, 3, 5]",Zhang_Mazurka.xml,Zhang,6,2 1/2
17.0,<music21.chord.Chord E-3 D-4 E-5>,"[0, 2]","[1, 3]",Zhang_Mazurka.xml,Zhang,6,3
17.5,<music21.chord.Chord E-3 D-4 D-5>,"[0, 2]","[1, 3]",Zhang_Mazurka.xml,Zhang,6,3 1/2
18.0,<music21.chord.Chord G-2 D-5>,"[0, 5]","[1, 6]",Zhang_Mazurka.xml,Zhang,7,1
18.333333333333300,<music21.chord.Chord G-2 F-6>,"[0, 2]","[4, 6]",Zhang_Mazurka.xml,Zhang,7,1 1/3
18.666666666666700,<music21.chord.Chord G-2 E-6>,"[0, 3]","[3, 6]",Zhang_Mazurka.xml,Zhang,7,1 2/3
19.0,<music21.chord.Chord B--3 D-4 F-4 E--6>,"[0, 4, 5, 7]","[9, 1, 2, 4]",Zhang_Mazurka.xml,Zhang,7,2
19.333333333333300,<music21.chord.Chord B--3 D-4 F-4 D-6>,"[0, 4, 7]","[9, 1, 4]",Zhang_Mazurka.xml,Zhang,7,2 1/3
19.666666666666700,<music21.chord.Chord B--3 D-4 F-4 C6>,"[0, 3, 4, 7]","[9, 0, 1, 4]",Zhang_Mazurka.xml,Zhang,7,2 2/3
20.0,<music21.chord.Chord B--3 D-4 F-4 C-6>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Zhang_Mazurka.xml,Zhang,7,3
20.333333333333300,<music21.chord.Chord B--3 D-4 F-4 B-5>,"[0, 1, 4, 7]","[9, 10, 1, 4]",Zhang_Mazurka.xml,Zhang,7,3 1/3
20.666666666666700,<music21.chord.Chord B--3 D-4 F-4 B--5>,"[0, 4, 7]","[9, 1, 4]",Zhang_Mazurka.xml,Zhang,7,3 2/3
21.0,<music21.chord.Chord A-2 B--5>,"[0, 1]","[8, 9]",Zhang_Mazurka.xml,Zhang,8,1
21.5,<music21.chord.Chord A-2 A-5>,[0],[8],Zhang_Mazurka.xml,Zhang,8,1 1/2
22.0,<music21.chord.Chord A-3 C4 G-4>,"[0, 2, 6]","[6, 8, 0]",Zhang_Mazurka.xml,Zhang,8,2
22.333333333333300,<music21.chord.Chord A-3 C4 G-4 A-4>,"[0, 2, 6]","[6, 8, 0]",Zhang_Mazurka.xml,Zhang,8,2 1/3
22.666666666666700,<music21.chord.Chord A-3 C4 G-4 A4>,"[0, 2, 3, 6]","[6, 8, 9, 0]",Zhang_Mazurka.xml,Zhang,8,2 2/3
23.0,<music21.chord.Chord B-4>,[0],[10],Zhang_Mazurka.xml,Zhang,8,3
